source_id,all_0 summary,all_1 summary,all_2 summary,all_3 summary
524990163446140928,"There were no such things as ""fake news"".",There is no such thing as too much information.,There were two shootings in Ottawa today.,There's nothing to see here.
524991576163250176,There is no such thing as fake news.,Police are looking for two people involved in a shooting.,There are no further details at this time.,There was a shooting at a hotel.
524993533212897281,It is a possible terrorist attack on the United States.,There is no such thing as too much information.,There is no evidence of a crime.,What do you want to know?
524995771587108864,Mike shares his opinion on Facebook.,The following files are available to download.,There's a lot going on in the world today.,Theresa is a freelance journalist.
525003468659228672,It's not a hoax. It's true.,There was a shooting in the area.,The photo on the right is of a soldier.,@JillKrop has sent me a photo.
525019752507658240,The guy is carrying a lever.,"Armed with research, can you tell us the source of this information?",Armed with a photo of a man with long hair and a beard.,@CindyPom has sent a link to her Twitter account.
525023025792835585,A hero's life is cut short by a heart attack.,Cameron died in a car accident.,There is no cure for cancer.,"According to his Twitter profile, he is gay."
525025279803424768,Canoe shares this article with his friends.,The Internet is a wonderful thing.,Canoe shares a photo of his cat.,My condolences go out to your family.
525025463648137216,The future is in God's hands.,There is no such thing as a free lunch.,It's very sad news for me.,There is a war on in Afghanistan.
525028734991343617,People should be armed and vigilant.,"It's OK, it's okay.",It doesn't need to be said.,The name should not be mentioned.
525032872647065600,It's been a while since I've posted anything.,There's a discussion going on on Twitter.,It's not a good idea to put people in danger.,There is no information about Z-B.
525049639016615937,Mauler's wife died in a car accident.,Mauler shares his views on politics.,Mauler is married with children.,Mauler is an actor.
525056576038518785,The world is going to hell.,A young man was shot and killed in Canada.,It's a sad day for Canada.,A soldier was shot and killed.
525058976376193024,"According to Wikipedia, glossology is:",It's going to be cold.,There is no such thing as too much information.,I am sad that some people don't like me.
525060425184858112,A man was shot and killed.,There is no place like home.,The video has been taken down.,Cathy can't read and write.
525068915068923904,There is no such thing as too much information.,There is no such thing as too much information.,Romeo and Juliette are getting married.,(http://www.washingtonpost.com/
529540733020405760,Prince is coming to Vancouver tonight.,"The show is sold out, but the tickets are still available.",Prince wants to meet with Prince.,@sarah_mccrone
529653029747064832,@jordanlewis.,There is no such thing as too much information.,Let me know if you hear anything.,There is no cure for cancer.
529654186791944192,The event is going to take place on Thursday.,Prince is going to perform in Toronto.,I'll be trying to get some sleep.,It's not much of a surprise.
529660296080916480,There is no such thing as a perfect match.,MICHELLE'S EXCUSE,It's not easy to make it to the meeting.,There's nothing to be afraid of.
529687410611728384,There is no such thing as too much information.,The artist's name is Lisa.,There's a concert in Vancouver.,There is no such thing as too much information.
529689679411810304,Freekman is an actor.,There's a lot going on at the concert.,Freekman is looking for a job.,"It's cold outside, but warm inside."
529695367680761856,"The concert was good, but the music was boring.",It's Prince's birthday today.,The following files are available to download.,There's no way I can get back to sleep.
529695483661664257,Stazie is on Twitter.,There's nothing to be afraid of.,There's a lot of work to be done.,The writer is a freelance journalist.
529713467184676864,There's a show in Toronto tonight.,The following files are available to download.,The video is available on YouTube.,There is no cure for cancer.
529716453792956416,There was a funeral for my cousin.,There are no prizes for guessing who won.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
529720273285566464,Prince will not be performing at LiveNation tonight.,Prince will not be performing at LiveNation tomorrow.,Theresa shares her thoughts on Brexit.,Prince will not be performing tonight.
529739968470867968,The band is not playing tonight.,There is no such thing as too much information.,The game is not playing tonight.,There was no reply to the question.
53czp3,It's called a long term investment.,The link to the article is not working.,The company earns about $66 billion a year.,"The more time people spend on YouTube, the more money they make."
544268732046913536,The meeting is taking place at 6 pm.,The results are in and are as follows.,The meeting is taking place at Sydney's Opera House.,The meeting is taking place at Sydney University.
544269749405097984,The situation in Sydney is getting worse.,The situation in Sydney is not good.,There's a problem with the internet connection in Australia.,The Internet is a wonderful thing.
544271069146656768,There's a fight going on inside the cafe.,Kristy is on Twitter at @,The content of this article is not suitable for all readers.,Kristy has made a mistake.
544271284796784640,It's not a good time to be a Muslim.,There's a lot of information on the Internet.,They're happy to let them out.,They are not at all in doubt.
544271362022338560,Andrew shares a photo of a man with a black flag.,The colour green is a symbol of Islam.,Andrew shares his opinion on the subject.,Andrew@jessradio@zulubravo
544272537341812736,The email address is used to send news to subscribers.,There is no such thing as a free lunch.,The Daily Mail has a link to an article about ISIS.,There are people who are being held up in a cafe.
544274544174071809,It's not a good idea to torture people.,@exjon wants to know if it's true that there are no more classes at the university.,"According to Exjon, there is no difference between Muslims and Christians.",The flag is not an Islamic symbol.
544274934835707905,BBC is broadcasting live from a cafe in the centre of the city.,The BBC is attacking Muslims on Twitter.,Sue is about 5 minutes away from BBC News.,The BBC has a problem with fake news.
544277117039837184,@liztilley wants to know if it's a good idea to give people a platform for their opinions.,There is something wrong with Sky News.,"There is no God, so there is no need to fear him.",@liztilley is angry at the media.
544277860555710464,There is no such thing as too much information.,Kiipp is on Twitter.,It's not near Christmas yet.,It's raining cats and dogs.
544278335455776769,There's a fight going on in the cafe.,The meeting is being held inside the cafe.,A protest is being held in Sydney.,There is no such thing as an Islamic flag.
544278985249550337,The following link is to the website of Myspace.,@mscott does not work in the UK.,"The more coverage there is on this topic, the better.",It's not often that people need a VPN to communicate.
544282005941530624,They kill all their loved ones.,Hilary doesn't want to talk to anyone.,There is no such thing as a free lunch.,There is no such thing as a free lunch.
544282227035869184,The flag is flying at half-mast.,There's a fight going on at the cafe.,There's a fight going on at the cafe.,There is no such thing as a free lunch.
544283772569788416,Sky News is live in Sydney.,Something is going on in Sydney.,Sky News is live in Sydney.,There is a problem with Sky News.
544287209730236416,My prayers go out to the people of Sydney.,Sydney is on Twitter.,Sydney is hosting a party tonight.,The Internet is a wonderful thing.
544288681021145090,Sydney cafe is under siege.,Shayannoy is an idiot.,There is nothing but trouble in the world.,There's a fight going on in Sydney.
544289311504355328,Hala is responsible for this mess.,There are a lot of lies that have come out of David's mouth.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
544289409294553088,It's very important that you're on the list.,It's the same old story again.,She does this all the time.,On Twitter @latikambi
544289941996326912,Australian is a pseudonym.,There is no cure for cancer.,People should not have to ask questions.,Theresa's statement is available here.
544290258951892992,The situation is still ongoing at the station.,There's a problem at work.,There's nothing to worry about in the world.,The conversation is still going strong.
544291804057960448,Anon pressed against a window.,Anon is pressing a window.,Anon shares this information with others.,There is an event happening right across the street.
544291965513134080,Sharri wants to know what is wrong with him.,Sharri shares a photo of a man who looks like a terrorist.,Sharri is not satisfied with the way things are going.,There is no such thing as a good joke.
544292129972170752,Anon is spreading false rumors.,Anon shares a link to a news report.,Anon is not a reliable source of information.,Anon is giving credit where credit is due.
544292670336925696,It's going to be 13 degrees today.,Anon shares his opinion on the matter.,The place is not near the airport.,The game is not over yet.
544293753130082305,The Internet is a dangerous place.,I am worried about the people of western Europe.,There is a fight going on in Birmingham.,A breakdown of what we know and what we don't.
544294893146091520,The situation in Sydney is getting worse.,There are hostages at the Sydney Opera House.,PolitiBunny is mad at BBC.,The BBC has been accused of broadcasting false information.
544297696308518912,There was a fire at the Opera House.,The situation in Sydney is getting worse.,"According to Fox News, Al-Qaeda is responsible for killing people.",@FoxNews has nothing to do with what is happening on Twitter.
544301453717041152,There is a problem with security in Australia.,It's like what happened in India.,There is a problem with security in Sydney.,There's a fight going on.
544305540286148609,The man is wearing a black headband.,The Daily Mail is on Twitter.,The link to the article is broken.,The Daily Mail is owned by News Corp.
544305745416581120,The following people are held in a hostage situation.,The following people are held in a hostage situation.,There is no such thing as a free lunch.,(http://www.washingtonpost.com/
544306402731507712,There is no such thing as too much information.,Sydney is hosting a party.,It's never too early to start looking for a job.,(http://www.washingtonpost.com/
544306719686656000,It's not easy to leave the country.,The situation is not as bad as it seems.,Jon is looking for a place to stay.,Aussies should be on high alert.
544309275141885952,The number of hostages is close to 50.,There are about 50 hostages at the café.,Nijat wants to know if there is a gun ban in place.,Vegas wants to know if it has worked for him.
544310853613281281,Sydney is on Twitter.,Sydney is sick of people trying to manipulate the news.,Sydney wants to know what's going to happen next.,Sydney is at work.
544314234541469696,Uber has introduced a new pricing system.,Uber is experiencing a surge in Sydney.,Uber has introduced surge pricing in Sydney.,Uber charges $1.50 per ride.
544315472075042818,The situation in Syria is getting worse.,There are reports of a hostage situation at the US Embassy in Sydney.,Mitchell wants to know if there is any evidence of a crime.,There's a lot going on at the moment.
544319274072817664,There's a man with a gun.,The Internet is a wonderful thing.,The last person on earth would want to hear that.,There is no better place to listen to the news than on 9News.
544319832486064128,A fight broke out in a cafe in Sydney.,The situation in Australia is politically motivated.,There is no such thing as a free lunch.,There was a mistake in the tweet.
544324444773433348,Mashable is charging $20 for a ride.,Uber has changed its pricing policy.,Uber has hiked prices in Sydney.,Uber is charging more for rides.
544328894812549121,@RT_com is a fake news website.,@april wants to know what's going on at the conference.,@april is on crack.,Anonymity is a good thing.
544329935943237632,Uber is charging more for rides in Sydney.,Uber offers a 30% discount for disabled passengers.,Uber is offering free rides out of the CBD today.,Uber is charging higher fares to encourage drivers to pick up passengers.
544333764814323713,@princekhattab has posted a message on Twitter.,It's not a good idea to kill people.,There are some people in the world who don't believe in God.,The tweet is from Prince Khattab.
544350567183556608,The conversation is open to everyone.,The fight is not over yet.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
544350712365207552,The report is available on-line.,Sydney is getting married.,The following files are available to download.,(http://www.washingtonpost.com/
544352727971954690,There is no such thing as free lunch.,The following files are available to download.,The following files are available to download.,The world needs a great war.
544358533819420672,The siege on the cafe is ongoing.,The fight against terrorism is ongoing in Sydney.,Gurmeet Rasheed is on Twitter.,Gurmeet Rasheed is on Twitter.
544358564484378624,Sydney is experiencing a power outage.,"The answer is ""yes"" or ""no"".",(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
544367462012432384,The good news and the bad news are coming soon.,The only way they are going to survive is if they kill each other.,There are no more hostages at the moment.,The details of the meeting are confidential.
544374511194632192,The following people have been able to get out of jail.,There are no more hostages at the moment.,There is no such thing as too much information.,They will see if they can do it.
544380742076088320,Carol is on twitter @carolinemarc.,@Carolinemarc is on Twitter.,@Carolinemarc is a bit of a pain.,Carol shares a photo of a girl on Twitter.
544381485591982083,Troy shares his opinion on the current political situation.,Troy shares his opinion on the matter.,Troy shares his news on Twitter.,@TroyBram is on Twitter.
544382892378714113,The Internet is a wonderful thing.,There is no such thing as free lunch.,There is a link to the video below.,The Internet is a wonderful thing.
544391176137089024,There's a fight going on in Australia.,There's a fight going on in the cafe.,The Internet is a dangerous place.,There's a fight going on at the UN.
544391533240516608,The following files are available to download.,The following files are available to download.,There is no such thing as a free lunch.,The following files are available to download.
544399927045283840,The BBC is reporting that there are hostages in the building.,The BBC is breaking a story.,The BBC is broadcasting live updates from Sydney.,There are Muslims around the world.
544462330105712640,@smh is fascinated by Hadley's role in the story.,Oneway Mule is an intermediary.,@suthernx @zjgarred @onewaymule,@suthernx @RunawayBudgie @onewaymule87 and @ZJ
544476808566276097,@SkyNews has done the right thing.,Sky News is showing a video of a terrorist attack.,There's a new video on YouTube.,@Wossyboo92 thinks that Christianity is an extremist religion.
544491151118860289,It's time to get on with the show.,It doesn't help me with,Theresa is a freelance journalist.,It's not even noon yet.
544504183341064192,It's a girl's game.,There is no such thing as too much money.,The police are looking for a suspect.,There is no need to worry about her.
544510450101415936,"The cafe is under siege, according to local media.",There are no more videos available at the moment.,There's a fight going on in a cafe.,The following files are available to download.
544511199702822913,Sydney is at work.,The following files are available under the CC-BY-SA tag.,It doesn't work too well.,Sydney is a writer and broadcaster.
544512108885725184,Sydney is having a bad day.,There might be a good time to do that.,There was an explosion in Texas.,There is no such thing as too much information.
544512664769396736,The following files are available to download.,The following files are available to download.,The following files are available to download.,Johannes is a journalist.
544512676643500033,The following files are available to download.,There is no such thing as a free lunch.,There's a lot going on in the world right now.,(http://www.washingtonpost.com/
544512910538838016,It looks like it's over.,Aussies are not allowed to carry guns.,The police are looking for him.,It doesn't seem like it will get any better.
