source_id,support summary,deny summary,query summary,comment summary
500341884678836224,A look back at some of the key stories in the news over the past week.,A man has been arrested on suspicion of attempted murder after a woman was found with a gun in the back garden of a house in south-west London.,,A look back at some of the best tweets from the BBC News website over the past week.
500347114975944705,A Twitter user has called for an investigation after a video emerged appearing to show a man holding a gun to a man's head.,Police are investigating after a man was shot dead during a protest outside the US embassy in Abu Dhabi.,Twitter users have been giving their reaction to a video that appears to show a man with a gun standing next to the head of a police officer.,People on social media have been reacting to a video that appears to show a black man being shot dead by a white police officer.
500354773133299713,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,,,A Twitter user has recalled how Ferguson police beat a man in 2009 and charged him for bleeding on them.
500363126294863876,The BBC has learned that a man has been arrested on suspicion of attempted murder after a woman was found with a gun in the back of a moving car.,A look back at some of the most memorable moments from the BBC News Channel in the past 12 months.,,A look back at some of the top stories of the week in Irish sport.
500363740311982081,A look at some of the tweets that have been trending on Twitter in the past 24 hours.,A look back at some of the most memorable stories from the BBC News website over the past year.,A look back at some of the most memorable stories from the BBC News website over the past year.,"Twitter users have been giving their reaction to the arrest of a black man by police in Ferguson, Missouri."
500371149713178625,A look at some of the tweets you might have missed over the weekend.,Twitter users have been reacting to the news that a man has been arrested in connection with the death of a woman in a car crash in California.,A look back at some of the most memorable moments in the history of the BBC News Channel.,A Twitter user has called for the arrest of a police officer who was involved in an incident in which a man was stabbed to death.
500377145349521411,"I'm not sure if this is a good thing or a bad thing, but I'm glad people are talking about it.",A look back at some of the best tweets from the BBC News website over the past week.,,A man has been arrested on suspicion of assaulting a police officer at a convenience store in south-west London.
500377906305327104,You can read the full interview on BBC Radio 5 live's Facebook page.,A look back at some of the most memorable stories from the BBC News website over the past year.,A look back at some of the most memorable stories from the BBC News website over the past year.,Twitter users have been giving their reaction to a video in which a man is filmed apparently punching a police officer in the face.
500378223977721856,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,The BBC has been given permission to broadcast live commentary on BBC Radio 4's Today programme from 7.30am on Thursday.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,People have been reacting to the news that a man has been arrested in connection with a robbery at a convenience store in Belfast.
500378522788315137,A look at some of the tweets that have been trending on Twitter in the past 24 hours.,A man has been arrested on suspicion of assaulting a police officer at a police station in north-west London.,A look back at some of the best tweets from the BBC News website over the past week.,"Twitter users have been reacting to the shooting of Michael Brown in Ferguson, Missouri."
500381163866062848,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A look at some of the key stories in the news over the past week.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,Twitter users have been sharing their reactions to the news that the UK government has approved plans to set up an independent inquiry into the UK's handling of the Brexit vote.
500389488217309184,A man has been arrested on suspicion of assaulting a police officer at a shopping centre in north-east London.,The BBC has learned that a man has been arrested in connection with an alleged attack on a police officer in south-east London.,Police have released a video of a man they suspect of carrying out a sex attack on a woman in south-east London.,A Twitter storm has broken out over the death of a man who was shot in the head by a police officer during a robbery at a convenience store.
500391222075076610,"Truer words have never been spoken, so here are some of the best ones.",A look back at some of the most memorable stories from the BBC News website over the past year.,A man has been arrested on suspicion of attempted murder after a man was shot dead outside a convenience store in Manchester.,A man has been arrested in connection with the theft of a woman's handbag from a shop in north-west London.
500394061887709184,A look back at some of the most memorable tweets from the BBC News website over the past year.,,,Twitter users have been reacting to the arrest of a man on suspicion of carrying a gun during a robbery at a convenience store in New York.
500413818368184321,A look back at some of the best tweets from the BBC News website over the past week.,Twitter users have been giving their reaction to the news that former England captain Chris Coleman is to stand for re-election.,,Twitter users have been reacting to the news that former Prime Minister David Cameron is to step down.
521346721226711040,A look back at some of the most memorable stories from the BBC Sport website over the past year.,A look back at some of the best tweets from the BBC News website over the past week.,A look back at some of the top stories of the past week.,"Former Ghana captain Michael Essien has been diagnosed with Ebola, the World Health Organization has confirmed."
521360486387175424,"Tributes have been paid to Italian footballer Gianluigi Buffini, who has died at the age of 33.",The BBC has learned that a man in his 70s has died in a car crash in California.,,A look back at some of the most memorable tweets from the BBC News website over the past 12 months.
524922729485848576,A look back at some of the most memorable stories from the BBC News website over the past year.,A man has been arrested on suspicion of assaulting a police officer.,Can you tell us what you think about the idea of a police helicopter being used as a bomb disposal vehicle?,A man has been arrested on suspicion of attempted murder after a man was shot in the leg by a police officer.
524923293711998976,,,A man has been arrested on suspicion of carrying out a knife attack on a police officer outside a police station in Ottawa.,A Canadian soldier has been shot at a World War Two memorial in Ottawa.
524923462398513152,,,A look at some of the key stories in the news over the past 24 hours.,People have been using social media to express their concerns about the recent terror attacks in Paris.
524923676484177920,A look back at some of the most memorable stories from the BBC News website over the past year.,The BBC has been granted access to the BBC News website for the first time.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A man has been arrested on suspicion of attempted murder after shots were fired at a police station in Ottawa.
524924619812511746,,The BBC News website has been taken over by a group of Twitter users who are calling for the BBC to be banned from using the site.,,"The BBC has been accused of being ""too soft on immigration"" and ""too lenient"" on asylum seekers."
524925050739490816,A look back at some of the top stories in Canadian news over the past 24 hours.,,A look at some of the key stories in the news over the past 24 hours.,A Canadian soldier has been shot dead outside the National War Memorial in Ottawa.
524925215235911680,A look at some of the key stories in the news over the past week.,,,Shots have been fired at the Houses of Parliament in Ottawa.
524925730053181440,Tributes have been paid to a soldier who died after being shot by a gunman in Afghanistan.,A look back at some of the stories we've been following this week.,,Former Prime Minister Stephen Harper has been criticised on social media for his response to the killing of a Canadian soldier in Syria.
524925987239120897,Canadian Prime Minister Justin Trudeau has paid tribute to the fallen at the National War Memorial in Ottawa.,,,A look back at some of the most memorable moments from this year's Paralympic Games.
524926235030589440,A look back at some of the most memorable stories from the BBC News website over the past year.,,A look back at some of the most memorable moments from this year's Paralympics.,A look at some of the stories you might have missed in the news this week.
524926472432410625,,,,Canadian Prime Minister Justin Trudeau has called for an inquiry into the death of a man who was shot outside the Conservative Party conference in Ottawa.
524927281048080385,The BBC has been given access to the CCTV footage of the moment a gunman opened fire on a crowd of people outside the Palace of Westminster.,Twitter users have been giving their views on the UK government's handling of the Brexit vote in the EU referendum.,A look back at some of the best tweets from the BBC News website over the past week.,Twitter users have been reacting to news that a man has been shot dead outside a barber's shop in north-west London.
524929497205055488,"Canadian Prime Minister Justin Trudeau has said he is ""disappointed"" by the death of a man in a shooting at a Toronto mosque.",A look at some of the stories you may have missed over the past week.,A look at some of the stories you may have missed in the news this week.,Toronto Mayor John Tory has called for an inquiry into the death of a man who was shot dead outside the city's gay nightclub.
524931324763992064,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,,A look at some of the stories you may have missed over the weekend.,A look at some of the stories you might have missed over the weekend.
524932056560963584,,,A look back at some of the most memorable stories from the BBC News website over the past year.,A look at some of the key stories in the news over the past week.
524932935137628160,"The BBC's political editor, Jeremy Paxman, has told the BBC News website that he is ""disgusted"" by the way some people have reacted to his comments on the Brexit vote.",A man has been arrested on suspicion of attempted murder after a man was shot dead in a shooting at a house in north-east London.,A look at some of the stories you may have missed this week.,A man has been shot dead by police in the US state of New York.
524935485370929152,A look back at some of the best tweets from the BBC News Channel over the past week.,,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A look at some of the tweets that have been trending on Twitter in the past 24 hours.
524936793633083394,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,,A look at some of the key stories in the news over the past 24 hours.,The BBC's Mark Strahl has spoken to the BBC News website about the terror attack in Paris.
524936872666353664,A man has been arrested on suspicion of attempted murder after shots were fired outside Parliament in Ottawa.,,,Shots have been fired near the Houses of Parliament in Ottawa.
524937542131793920,,,A man has been arrested on suspicion of attempted murder after a man was shot in the leg outside a bar in Belfast.,Rideau Centre has been taken over by police following reports of a man with a knife in the city centre.
524940659778920448,A man has been shot dead outside the Houses of Parliament in London.,,,A look back at some of the most memorable images from the BBC News website over the past 12 months.
524941132237910016,A look back at some of the most memorable moments from this year's Paralympic Games.,,,A look back at some of the most eye-catching images from the BBC News website over the past 12 months.
524941720249978880,The BBC has obtained exclusive footage of the moment a gunman opened fire on a group of protesters outside the Houses of Parliament in London.,,Twitter users have been giving their reaction to the news that a man has been arrested in the UK on suspicion of murder.,A man has been shot dead and another injured in an exchange of gunfire outside the House of Commons in Ottawa.
524942470472548352,,,,A look back at some of the top stories of the week in Canadian news.
524943490887991296,,,,One person has been shot dead and two others injured in a shooting outside the Canadian Parliament in Ottawa.
524944399890124801,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,,A look at some of the stories you might have missed in the news this week.,A man has been shot dead outside the Canadian Parliament in Ottawa.
524947416869388288,,,,A look back at some of the most memorable stories from the BBC News website over the past 12 months.
524947674164760577,,A Canadian soldier has been shot in the head in what appears to have been a hit-and-run incident in Ottawa.,A look back at some of the top stories of the week in British sport.,Tributes have been paid on social media to a man who died in a car crash in California on Sunday.
524947867975561216,The BBC has been granted permission to broadcast live commentary on BBC Radio 4's Today programme.,Police have arrested a man on suspicion of attempted murder after a woman was shot in the head outside a bar in Ottawa.,A look back at some of the most memorable stories from the BBC News Channel in the past year.,A man has been killed and another injured in a shooting outside the Canadian parliament in Ottawa.
524948206023880704,A man has been killed and another injured in a shooting at a shopping centre in south-east London.,A look back at some of the stories we've been following over the past few weeks.,A look at some of the key stories in the news over the past 24 hours.,A man has been shot dead outside the Canadian Parliament in Ottawa.
524948866773184512,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,,,A look back at some of the best tweets from the BBC News website over the past week.
524949443607412737,A man has died and another has been seriously injured in a shooting at a shopping centre in Ottawa.,A man has been arrested on suspicion of attempted murder after a man was shot in the head outside a bar in Ottawa.,,A look back at some of the most memorable stories from the BBC News website over the past 12 months.
524952883343925249,"Canadian Prime Minister Justin Trudeau has said he is ""disgusted"" by a video that appears to show shots being fired inside the House of Commons.",A look back at some of the most memorable moments from this year's Paralympic Games.,,"Canadian Prime Minister Justin Trudeau has said he is ""disappointed"" by reports of a shooting outside the House of Commons in Ottawa."
524956129017995264,A look back at some of the best tweets from the BBC News Channel over the past week.,A man has been arrested on suspicion of attempted murder after a man was shot in the head outside a bar in Ottawa.,,A number of people have taken to social media to express their shock at reports of a shooting at Ottawa's National War Memorial.
524959809402331137,A man has been shot dead outside the Canadian Parliament in Ottawa.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A look at some of the stories you may have missed in the news this week.,Canadian Prime Minister Justin Trudeau has defended his government's response to the Paris terror attacks.
524961721744900097,A look at some of the stories from the BBC News website this week.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,The BBC has learned that a man has died in a car crash in California.,A Canadian soldier has died after being shot at the National War Memorial in Ottawa.
524962142563610625,A look back at some of the top stories in Canadian news over the past 24 hours.,,A look at some of the key stories in the news over the past 24 hours.,A look back at some of the most memorable stories from the BBC News website over the past year.
524964948683005952,,Canadian Prime Minister Justin Trudeau has been criticised on social media for comments he made during the election campaign.,A look at some of the stories you may have missed in the news this week.,Canadian Prime Minister Justin Trudeau has been criticised on social media for his response to the terror attack in Paris.
524965775036387329,A look back at some of the best tweets from BBC Radio 4's Today programme this week.,,,The BBC News website has a full list of names of those who have been charged in connection with the attack in Paris.
524966904885428226,A look at some of the stories you may have missed in the news this week.,,A look at some of the key stories in the news over the past 24 hours.,A look back at some of the best tweets from the BBC News Channel over the past week.
524969201102901248,,,,The sergeant-at-arms of the House of Commons has been hailed as a hero by the Conservative Party.
524970851675176960,A look back at some of the key stories of the week in British politics.,A look back at some of the stories we've been following this week.,,
524972443308683264,A look back at some of the most memorable stories from the BBC News website over the past year.,,There has been a lot of talk in the UK about the impact of Brexit and how it will have on the UK's relationship with the EU.,"A man has been shot dead outside a bar in north-west London, police say."
524975705206304769,A look at some of the stories you may have missed in the news this week.,,,A hockey game between the Ottawa Senators and the Toronto Maple Leafs has been postponed because of a water leak.
524980744658382848,,,The BBC has learned that a man in his 40s has been arrested on suspicion of attempted murder.,A Canadian man has been arrested in connection with the death of a woman in a car crash on the outskirts of Toronto.
524981436252950528,,,A look at some of the key stories in the news over the past 24 hours.,"Canadian Prime Minister Justin Trudeau has said he is ""very concerned"" by reports of a shooting at a mosque in Ottawa."
524983581983375360,A look back at some of the most memorable stories from the BBC News website over the past year.,A look back at some of the most memorable stories from the BBC News Channel over the past year.,A look at some of the key stories in the news over the past 24 hours.,"Canadian Prime Minister Justin Trudeau has said he is ""disappointed"" by reports that a man has been arrested in connection with an attack on a police officer in Ottawa."
524990163446140928,A look back at some of the most memorable stories from the BBC News website over the past year.,A look at some of the key stories in Canadian news over the past 24 hours.,A look back at some of the top stories in Canadian news this week.,
524991576163250176,Police are searching for a man after a woman was shot dead at a shopping centre in north-west London.,A man has been arrested on suspicion of attempted murder after a shooting outside a bar in north-west London.,A look at some of the stories you may have missed in the news this week.,The BBC News website has been taken over by the Islamic State (IS) militant group.
524993533212897281,A look at some of the key stories in the news over the past 24 hours.,,A look at some of the key stories in the news over the past 24 hours.,A look at some of the stories you may have missed in the news this week.
524995771587108864,A look back at some of the best tweets from BBC Radio 4's Today programme over the past week.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,,A look back at some of the best tweets from BBC Radio 5 live listeners over the past week.
525003468659228672,Tributes have been paid to former British Prime Minister David Cameron for his services to the armed forces.,Twitter users have been reacting to the news that a man has been killed in a shooting in the US state of Florida.,,A man has been arrested on suspicion of taking a picture of a police officer and posting it on social media.
525019752507658240,,A look back at some of the most memorable moments from this year's Brit Awards.,Twitter users have been sharing a picture of a man with a gun on the streets of London.,Twitter users have been giving their reaction to the news that a man has been arrested on suspicion of attempted murder in Manchester.
525023025792835585,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,,,"Tributes have been paid to Australian soldier Nathan Cirillo, who has died after being shot in the head by a gunman in Sydney."
525025279803424768,,,,"Tributes have been paid to British soldier Lee Rigby, who was killed in Afghanistan on Saturday."
525025463648137216,Tributes have been paid to a soldier who died in Afghanistan while serving with the Canadian army.,,,Tributes have been paid on social media to the victims of the Manchester Arena attack.
525028734991343617,A look back at some of the best news stories of the past week.,,A look at some of the key stories in the news over the past 24 hours.,A look at some of the stories you may have missed in the news this week.
525032872647065600,A look back at some of the most memorable stories from the BBC News website over the past year.,A look back at some of the best tweets from the BBC News Channel over the past week.,A look back at some of the best tweets from the BBC News Channel over the past week.,US President Donald Trump has said he wants to talk to North Korean leader Kim Jong-un about North Korea's nuclear programme.
525049639016615937,A look back at some of the best tweets from the BBC News Channel over the past week.,A look back at some of the most memorable stories from the BBC News website over the past year.,,Tributes have been paid on social media to a man who died in a car crash in California on Sunday.
525056576038518785,Tributes have been paid to the British soldier who died in Afghanistan on Saturday.,A look at some of the most eye-catching images from around the world this week.,,Tributes have been paid to a Canadian soldier killed by Islamic State militants in Syria.
525058976376193024,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A look back at some of the most memorable moments from this year's Fifa World Cup.
525060425184858112,A look back at some of the most memorable stories from the BBC News website over the past year.,A man has died after being shot in the head by a gunman at a bar in south-east London.,A look back at some of the most memorable moments in the history of the BBC News Channel.,A look at some of the tweets that have been trending on Twitter in the past 24 hours.
525068915068923904,A look back at some of the most memorable stories from the BBC News website over the past year.,,,A look back at some of the most memorable stories from the BBC News website over the past year.
529540733020405760,A look back at some of the best tweets from BBC Radio 4's Today programme over the past week.,,A look back at some of the most memorable moments from this year's T in the Park.,Prince Charles has said he would like to go on a tour of the Louvre in Paris.
529653029747064832,,A look back at some of the most memorable stories from the BBC News website over the past year.,,People have been using Twitter to express their frustration with the government's handling of the Brexit vote.
529654186791944192,,,A look back at some of the top stories in Canadian news over the past week.,Prince has confirmed he will be performing in Canada this summer.
529660296080916480,,,,A look back at some of the top stories of the week in British sport.
529687410611728384,A look at some of the stories you might have missed in the news this week.,,,A look back at some of the most memorable moments from this year's Edinburgh Fringe.
529689679411810304,,A look back at some of the best stories from the BBC News Channel this year.,,A look back at some of the best tweets from BBC Radio 4's Today programme over the past week.
529695367680761856,,A look back at some of the most memorable moments from this year's Brit Awards.,A look at some of the key stories in the news over the past 24 hours.,Prince Harry's birthday has been celebrated with a special concert at London's O2 Arena.
529695483661664257,,,,A look at some of the tweets you might have missed over the weekend.
529713467184676864,A look back at some of the best tweets from the BBC News website over the past week.,A look at some of the stories you might have missed this week.,,A look back at some of the most memorable stories from the BBC News website over the past year.
529716453792956416,,,,A look at some of the stories from around the world this week.
529720273285566464,Prince Harry has confirmed he will not be playing at Glastonbury this year.,,The BBC has contacted Prince Harry's representative at Kensington Palace for comment.,Prince has confirmed he will not be playing at Manchester Arena on Saturday night.
529739968470867968,A look back at some of the top stories of the week in Canadian sport.,A look back at some of the top stories of the week in Canadian sport.,A look at some of the stories you may have missed in the news this week.,A look back at some of the top stories of the week in Canadian news.
53czp3,,,A look back at some of the top stories of the past week.,Google's chief executive Sundar Pichai has defended the company's decision to buy video-sharing site YouTube.
544268732046913536,,,,A number of people have been taken to hospital following an incident at a shopping centre in Sydney.
544269749405097984,,,A look back at some of the top stories in Australian news this week.,A man has been killed and another has been injured in a shooting at a shopping centre in Sydney.
