source_id,all_0 summary,all_1 summary,all_2 summary,all_3 summary
525023025792835585,A man's life is inextricably linked to his work.,There is no such thing as too much information.,A soldier was killed in Afghanistan.,Samarasinghe is the author.
525025279803424768,Canoe's Twitter account has been suspended.,Canoe shares a photo of his cat.,My condolences go out to all who suffer.,My heart is broken. I am so sorry.
525025463648137216,The future is in God's hands.,There is no such thing as a free lunch.,According to wikipedia.org.,It's very sad news for me.
525028734991343617,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
525049639016615937,Mauler is married with children.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
525056576038518785,The world is going to hell.,A young man was shot and killed in Canada.,The world is a sad place.,"According to Wikipedia, it is:"
525058976376193024,It's going to be cold.,There is no such thing as too much information.,I am sad that some people don't like me.,(http://www.washingtonpost.com/
525060425184858112,The following is a transcript of an interview.,The man was shot and killed.,There is no place like home.,Cathy can't read and write.
525068915068923904,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
544268732046913536,The meeting is taking place at Sydney's Opera House.,The meeting is taking place at Sydney's.,The meeting is taking place at Sydney University.,The meeting is taking place at Sydney's Opera House.
544269749405097984,The writer is a freelance journalist.,The situation in Sydney's financial market is very bad.,Terrifying situation in Sydney's financial district.,Rek is on Twitter @Rek.
544271284796784640,It's like a job interview.,They're happy they're free.,The future is not in doubt.,(http://www.washingtonpost.com/
544271362022338560,There is no such thing as a happy medium.,There is no such thing as too much information.,Theresa is still not sure of the answer.,(http://www.washingtonpost.com/
544274934835707905,There is no such thing as too much information.,There is no such thing as too much information.,Sue writes for BBC News.,It's not a good idea.
544277117039837184,People are afraid of the future.,There's a problem with the internet.,There's nothing to worry about.,There is no such thing as an Islamic State.
544278335455776769,The flag is flying outside the cafe.,A protest is being held inside a cafe.,The meeting is being held inside the cafe.,A protest is being held in Sydney.
544278985249550337,The following link is to a video of the event.,The link does not work in the UK.,"The more coverage there is on this topic, the better it is.",@mscott is on Twitter.
544282005941530624,Theresa is looking for someone to talk to.,They don't have strict gun laws.,There is no such thing as too much money.,There is no such thing as a free lunch.
544282227035869184,The content of this article is subject to change.,There's a fight going on at the cafe.,There is no such thing as a free lunch.,There is no such thing as a free lunch.
544283772569788416,There are no more updates to this story.,What is going on in Sydney today?,Sky News is live in Sydney.,It is such a horrible thing to do.
544289311504355328,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
544289409294553088,The following people are on the list.,"According to Wikipedia, it's called","According to Wikipedia, it can be found here.","According to wikipedia.org,"
544289941996326912,Australian is a pseudonym.,People should not have to ask questions.,Theresa's statement is available here.,(http://www.washingtonpost.com/
544290258951892992,The conversation is still going on.,Sydney is experiencing a power outage.,There's nothing to fear in the world but fear.,The following files are available to download.
544291804057960448,The following files are available to download.,Anon shares his views on Facebook.,The following files are available to download.,Anon shares his views on Facebook.
544291965513134080,Sharri wants to know what is wrong with you.,Sharri shares his opinion on Twitter.,Sharri wants to know why people are afraid of her.,There is no such thing as a bad joke.
544301453717041152,There is a problem with security in Australia.,The following files are available to download.,There's a fight going on in Berlin.,There's a fight going on in Sydney.
544305540286148609,It's time to start reading again.,Theresa is looking for someone to help.,There is no such thing as a free lunch.,The face of Australia's economy is falling.
544314234541469696,Uber is experiencing a surge in demand.,Uber has introduced a new pricing system.,There's a problem with Uber's pricing.,Uber charges $1.50 per ride.
544319274072817664,There is no such thing as too much information.,There's a lot going on in the world today.,There is no better place to listen to music than YouTube.,There must be a way to solve this problem.
544319832486064128,The situation in Australia is getting worse.,The situation in Australia is politically motivated.,The situation is not as bad as it seems.,There is no such thing as a free lunch.
544324444773433348,Mashable has a problem with privacy.,Uber has hiked its prices in Sydney.,The price of Uber has gone up.,The price of Uber has gone up.
544329935943237632,Sydney is offering free rides on Uber.,Uber charges you extra for rides.,Uber is charging $1.50 per ride.,Uber is charging more for rides.
544350567183556608,The fight is not over yet.,The conversation is open to everyone.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
544350712365207552,The report is available on-line.,The following files are available to download.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
544352727971954690,On Twitter: @haurry,The following files are available to download.,There's a war on for your mind.,(http://www.washingtonpost.com/
544358533819420672,The conversation is still going on.,There is no such thing as free will.,The fight is still going on.,There is no such thing as too much information.
544358564484378624,Sydney is experiencing a power outage.,"The answer is ""yes"" or ""no"".",(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
544367462012432384,People are looking for good news on Facebook.,There is no such thing as too much information.,The following files are available to download.,The details of the meeting are confidential.
544374511194632192,The following people have been able to get out of jail.,There is no señales en Argentina.,"On Twitter, Facebook and Instagram.","According to Wikipedia, it can be found here."
544380742076088320,Carol is looking for a place to stay.,Carol's been through a lot and she's not happy about it.,There are some people who don't want to be photographed.,There is no need to know the name of the author.
544381485591982083,Troy shares his opinion on politics.,Troy is based in Sydney.,There is no such thing as a free lunch.,It's a bad day for everyone involved
544382892378714113,There is no such thing as too much information.,The following files are available to download.,Gelukkig writes for BuzzFeed News.,There is no such thing as too much information.
544391176137089024,There's a lot of work to be done.,There is a problem with the internet connection in Australia.,The following files are available to download.,"He needs some diapers, too."
544391533240516608,The following files are available to download.,There is no such thing as a free lunch.,The following files are available to download.,(http://www.washingtonpost.com/
544399927045283840,The BBC is breaking a story.,Aussies are being held hostage by the BBC.,There is no need to tell the whole world.,Sydney is having a bad day.
544476808566276097,They don't know whether or not he has a booby.,It's not easy to give away information.,There's a lot of stuff going on in the world right now.,There's nothing to learn from this.
544491151118860289,It's time to get on board.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
544504183341064192,There is no such thing as a free lunch.,The police are looking for a suspect.,It's going to be like this.,It's good to be fit.
544511199702822913,Sydney police confirm that live ammunition was used in the attack.,Sydney is having a party.,Sydney is on Twitter.,It doesn't work too well.
544512108885725184,Sydney is having a bad day.,"Sydney, Australia's capital city.",The following files are available to download.,Sydney is hosting a party.
544512664769396736,The following files are available to download.,The following files are available to download.,Дела,Johannes is a journalist.
544512676643500033,The following files are available to download.,There is no such thing as a free lunch.,There's a lot going on in the world right now.,(http://www.washingtonpost.com/
544513524438155264,There is no such thing as too much money.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
544514564407427072,Theresa is a freelance journalist.,"According to Wikipedia, the article is:",(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
544515538383564801,There's a rumor going around about a murder.,The judge has questions for Karam.,There is no such thing as too much information.,There is no such thing as a happy ending.
544517264054423552,Sydney police are investigating a crime.,Sydney is safe and sound.,Sydney police confirm that the investigation is over.,Sydney police are investigating a crime.
544518335019229184,The following people have died recently.,The following people have died recently.,The following people have died recently.,The following files are available to download.
544520042810200064,The conversation is over on Twitter.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
544520273718812672,It's been a long day.,Angus is dead. He died of a heart attack.,Angus is watching this video.,There's a lot to be thankful for.
552783667052167168,There was a shooting at Charlie's place.,The writer is a freelance journalist.,It's a crime of passion.,(http://www.washingtonpost.com/
552785375161499649,There is no such thing as free will.,There is no such thing as too much information.,There is no such thing as freedom of speech.,(http://www.washingtonpost.com/
552791196247269378,The law is very strict in France.,A message is being sent to you.,There is no such thing as free will.,At least 10 people were killed in Paris.
552791578893619200,A man was shot and killed in Paris.,There was a shooting in Paris.,There was a shooting in Paris.,There was a shooting at the offices of Charlie Hebdo.
552792544132997121,There are 11 people killed in the attack.,You are welcome to share this article.,Raja is an independent journalist.,Raja shares her opinion on politics.
552792802309181440,There was a shooting in Paris.,There was a shooting in Paris.,The writer is a freelance journalist.,There was a shooting in Paris.
552792913910833152,There was a shooting in Paris.,There was a shooting in Paris.,There is no such thing as too much information.,There is no such thing as too much information.
552793679082311680,Sylvie is at the scene of an attack.,The writer is a freelance journalist.,The following people are at risk of attack.,(http://www.washingtonpost.com/
552802654641225728,There was a shooting in Paris.,There is no such thing as too much information.,There's a lot to learn about Islam.,Theresa is still at large.
552805488631758849,There were at least 12 people killed in Paris.,It was invented by Muslims to fight unbelievers.,They are being persecuted for their religion.,Chusid shares his opinion.
552806757672964097,A man has been shot dead in Paris.,The video is available in French.,The following files are available to download.,On Twitter @USATODAY
552811386259386370,There was a shooting in Paris.,There is no place for violence in the world.,There is a lot going on in the Middle East.,There was a shooting in Paris.
552832817089236992,The man is wearing a hood.,There was a man shot by police.,There is no such thing as a happy ending.,There is no such thing as too much information.
552834961762709505,"According to Wikipedia, a rocket is:",Hebdo shares his views on Facebook.,It's a work in progress.,(http://www.washingtonpost.com/
552984502063337472,There is no such thing as free will.,"According to Wikipedia, Charlie died of cancer.",(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
553107921081749504,There's a problem with the data.,There is no such thing as too much information.,There is no such thing as too much information.,(http://www.washingtonpost.com/
553160652567498752,Kareem is wanted in Paris.,There's a man on the run and they are looking for him.,There is no such thing as too much information.,There's no place like home.
553221600955621376,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
553476490315431937,There is no such thing as too much information.,Theresa is a freelance journalist.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
553476880339599360,The following files are available to download.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
553506608203169792,There's a problem with a car on the road.,"There's a lot to say, but I'll just say it.",There's a problem with the Internet.,There is no such thing as a free lunch.
553508098825261056,There's a lot to tell.,There is no such thing as too much information.,"They want to be killed, but they don't know how.",There is no such thing as too much information.
553512735192141826,There is no connection between the two events.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
553531413459660800,There is no such thing as too much information.,It's only a matter of time.,There's a lot of work to be done.,This is a breaking news story.
553534838880608256,There is no such thing as free will.,A woman has been killed in Paris.,There was a shooting in Paris.,There's a problem in France.
553535829017370625,There are at least five hostages in Paris.,It's time to make a declaration.,It's all part of a plan.,(http://www.washingtonpost.com/
553543369604210689,There are no children in the picture.,It's that kind of day.,There is no such thing as a free lunch.,The following files are available to download.
553544694765215745,There was a shooting in Montrouge.,There is no such thing as too much information.,There is no such thing as a free lunch.,There is no such thing as a free lunch.
553558982476828674,"According to wikipedia.org,","According to Wikipedia, it is:","According to wikipedia.org,","If I were you, I would do this."
553566026030272512,There is no such thing as too much information.,The show is on at 7.30.,There is no such thing as too much information.,There is no such thing as fake news.
553586860334010368,The best news I have heard in a while.,There's nothing to worry about at the moment.,There's good news and there's bad news.,Kay is one of the best in the business.
553586897168392192,There is no such thing as free will.,There are no suspects at this time.,There is no such thing as too much information.,Troy shares his opinion on Facebook.
553587013409325058,Charlie is safe after the police assault.,The hostage taken by the gunmen has been released.,The suspect has been arrested and is being questioned.,Callum is on Twitter now.
553587303172833280,Police are taking people out of the supermarket.,Police are taking people out of the supermarket.,The police are taking people out of Paris.,There was a fight in a supermarket.
553587672137334785,A man has been shot dead.,Hebdo has been killed.,The following people have been killed.,Hebdo has been killed.
553588178687655936,Hebdo has been killed.,Huffington Post reports that a man has been killed.,HuffPost is on Facebook.,There is no such thing as
553589051044151296,A man is detained at a supermarket in Paris.,A man is detained at a supermarket in Paris.,A man is being held at gunpoint in Paris.,Theresa is free at the moment.
553590459688570880,Several hostages were freed at the supermarket in Paris.,Several hostages were freed at the supermarket in Paris.,Several hostages were freed at the supermarket in Paris.,Some hostages were freed at the supermarket in Paris.
553590835850514433,A man has died in a car crash.,The following files are from Sky News.,A man has been shot and killed in Paris.,The following files are available under CC-BY-NC-ND
580324027715063808,A plane crashed in southern France.,A plane crashed in southern France.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
580348081100734464,There was a plane crash in Germany.,It's been a bad year for BBC.,There's a problem with the internet connection in Spain.,There was a plane crash in the Alps.
594687353937100801,The following files are available to download.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
600451916414484480,There's a lot of stuff going on.,The following is a collection of tweets.,The writer is a freelance journalist.,(http://www.washingtonpost.com/
604354747357859842,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
604625816992002049,There is no such thing as a perfect world.,There is no one to kiss.,There is no such thing as fake news.,There is no such thing as too much information.
604642913188872192,There is nothing wrong with this picture.,A man asked a woman if she was wearing a pink coat.,There is no such thing as a free lunch.,The best part is that he had a jacket on.
611039775856812032,The chicken has been fried.,KFC has fried a customer's chicken.,"This is not true, it's a joke.",Takashi is on Twitter.
612438528803213312,@tchopStL and @jonswaine don't want to talk about it.,@tchopStL and @jonswaine are trying to get him to confess.,@tchopstl wants to talk to the police.,@tchopStL thinks it's ridiculous that a man was arrested for parking.
612646796355960832,@ajplus and @YourAnonNews are upset about the arrest of a man.,@ajplus and @theobserver are not happy about the arrest of a man.,@ajplus and @theobserver don't like the way people treat each other.,@ajplus and @theobserver are accusing each other of spreading lies.
612741808125120513,@ClickHole shares a funny story.,The Internet is full of funny tweets.,@TheOnion wants to know if there's anything he can do to help.,The Internet is full of weird stuff.
612841482823729152,Bipartisan shares a photo of a man with a gun.,It's not a good idea to call people names.,Bipartisan is a racist website.,The Internet is the only thing that connects people.
613016993692798977,There is no such thing as a free lunch.,The following is a transcript of the podcast.,There is no such thing as too much information.,"According to the report, he was arrested."
613023744454475776,CNN owes Mia Love a lot of money.,@RepMia and @cnnbrk are angry at CNN.,CNN is giving money to the wrong people.,CNN is taking money from people who don't agree with them.
613061089518034944,There's a reason why this country isn't perfect.,There is no such thing as a free lunch.,There is no such thing as too much information.,There is no such thing as too much information.
613114185505996802,The AP is collecting donations from the public.,It's just another day in the life of a racist.,There is no evidence that US President Donald Trump is racist.,The following is a collection of photos of people with guns.
613194145423826944,Hillary is not going to vote for Donald Trump.,Hillary is not running for president.,Hillary is talking to the wrong people.,The last thing we need is more drama.
613294443878305796,@dailymail.co.uk is looking for someone to send him a message.,The Daily Mail reports that a suspect has been arrested.,There's a new Daily Mail.,Dylann Roof has been arrested.
613362193787129860,Innocencial information.,"It's not real, but it's interesting.",Innocencial information.,(http://www.washingtonpost.com/
613393657161510913,There is no reason for them to do that.,A man was robbed at knifepoint.,He's in their custody. He hasn't eaten in days.,There is a lot of work to be done.
613404935003217920,Huffington has been arrested.,Huffington is hungry.,Huffington shares his opinion on the subject.,Huffington is in trouble with the police.
613425834301485056,The following is a transcript of a podcast.,The police are looking for him.,The Internet is a wonderful thing.,The man has broken his neck.
614054616154550273,The News has received $4.33 million in donations.,Shooter received $4.33 from his supporters.,@NewsWatch is a fake news story.,@NewsWatch and @YourAnon are spreading fake news.
614467824313106432,There's a lot going on at the White House right now.,The author tweets @daddylou.,There is no such thing as too much information.,There's a problem with lightening.
614494170590367744,The other end of the house is empty.,Theresa won't talk about it.,"""I don't know what to do.""",There is no cure for cancer.
614494460747997184,It's raining in the UK.,There is no such thing as too much information.,There is no such thing as too much money.,(http://www.washingtonpost.com/
614593386188828672,"According to ABC, same-sex couples have the right to marry.",It's a sad day in the USA.,It's a sad day for America.,It's not a good look for ABC.
614593989203886080,On Twitter @Allanbrock,There is no such thing as too much information.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
614594195479752704,There's a war on for the White House.,There is no such thing as a bad day.,The White House is lit in rainbow colors.,The Internet is a wonderful thing.
614594259900080128,The conversation is going to be over soon.,The President is trying to tell us something.,There is a difference between red and white.,"According to Wikipedia, it is:"
614594667225571328,There is no such thing as too much information.,The Internet is a wonderful thing.,There is no such thing as too much alcohol.,There is no such thing as too much love.
614595106906226688,The White House is on fire.,There is no such thing as too much information.,Theresa won't talk about it.,The White House is on fire.
614595181845839873,The White House is lit up.,The White House is lit up.,@hunterschwarz and @thekennymiller are celebrating gay marriage.,"@hunterschwarz, @ChristieC733 and @"
614599587362414592,It's true. It's very true.,There is no such thing as too much information.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
614599619310407680,The White House is full of hypocrites.,Fox News is spreading lies about President Obama.,Fox News is a disgrace to America.,The White House is celebrating same-sex marriage.
614599815280857088,Evening News is on CBS.,White House celebrates same-sex marriage.,Evening News is sponsored by CBS.,Evening News is on Facebook.
614601139422633984,It's wrong to judge people based on their looks.,@WNTonight is not a good idea.,President Obama is coming to see WNT tonight.,@WNTonight is so cool.
614604054552018944,CNN and White House are having a fight.,WhiteHouse is upset with CNN.,CNN is promoting same-sex marriage.,CNN is spreading lies about President Obama.
614604580601597953,It's a sad day for this country.,The Hill is having a party.,The Hill is a website dedicated to promoting human rights.,It's hard to get a good deal.
614605997953404929,The AP is celebrating the Supreme Court's decision legalizing same-sex marriage.,The AP has published a photo of a rainbow flag.,There's a lot of hate on Twitter.,The White House is lit up in rainbow colors after the Supreme Court ruling.
614607711368519680,It's a sad day for America.,HOLY CRAP.,"""I don't know what to say.",There's a war on for your mind.
614608936491188225,It's a beautiful thing to behold.,Theresa is worried about the growing threat of terrorism.,There is no such thing as too much money.,There is no such thing as a perfect day.
614609560658161664,The White House is lit like a rainbow in honor of the president.,Bret Baier thinks the White House is gay.,Bret Baier is celebrating the Supreme Court's decision.,Bret Baier is a hypocrite.
614610102927147008,@trevso is on Twitter.,There is no such thing as a black hole.,There is no such thing as too much information.,There's no such thing as too much information.
614610364702044164,There is no such thing as gay marriage.,There is no such thing as a free lunch.,The Internet is a wonderful thing.,The Internet is a wonderful thing.
614610920782888960,@petesouza and @vj44 are laughing at the president.,Petesouza shares a photo of the White House with David Gregory.,@petesouza and @stphnma think it's a good idea.,Petesouza shares a photo of the Washington Monument with David.
614614133410033664,The White House is celebrating the Supreme Court ruling.,It's a beautiful day in the country.,There is no reason to celebrate a judge's decision.,@NBCNews is not a good idea.
614615157730357248,"The man has no shame, so why not give him the middle finger?",The Hill is having a party.,There is no such thing as a free lunch.,The Hill was not made for this.
614616994499788800,There's a war on for your mind.,There is a rainbow in the sky.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
614617234942656512,Nick and Kristof don't agree on marriage equality.,The White House is lit up.,Nick and Kristof are against same-sex marriage.,Nick and Kristof are celebrating their relationship.
614618682543616000,It's a little over the top.,The internet is full of misinformation.,There is no such thing as too much information.,"On Twitter, @douglas"
614620298877513729,@ABC doesn't want to pay the bill.,ABC is full of hate and ignorance.,ABC has become an instrument of evil.,This is the first time in history that the White House has been seen like this.
614624331717545984,Capehart is on Twitter.,There's too much information about politics on Twitter.,Capehart is proud to be an American.,Capehart is on Twitter.
614626710248534016,The right to freedom of religion is under attack.,There's a new chapter in the history of,There is no such thing as too much information.,There's a war on for your mind.
614628136634949632,Filed under: Uncategorized,It's about time you did something good for the country.,The White House is closed for renovations.,(http://www.washingtonpost.com/
614628865353351168,The conversation on Facebook is now open.,There is no such thing as black and white.,There are no more Christians in the world.,There is no such thing as a free lunch.
614638036593299456,There's a story in Newsweek about a terrorist attack.,The Internet is a wonderful thing.,There are people who do not agree with Donald Trump's policies.,There's a lot of talk about terrorism in the US.
614645853291155457,It's a great day for,"The sun is going down, so it's time to celebrate.","The sun is shining, so it's time to celebrate.",The colours of the flag should be red and white.
614648099542204416,It's a beautiful day for painting.,"The future is uncertain, but there is hope.",It's a shame that nobody is defending the First Amendment.,There is no such thing as too much money.
614650850393391104,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
614671961801785344,The White House is glowing with pride.,There is a war on for the soul of humankind.,There is no such thing as a perfect marriage.,It's a sad day for America.
614702244001382400,There is no such thing as a perfect world.,@politico is using the hashtag #,@politico is working on a project.,Ron shares his opinion on Twitter.
614790312955904000,The White House is lit up to celebrate gay marriage.,Time is celebrating Valentine's Day.,Time is having a birthday party at the White House.,Time magazine has published an article that is offensive to Christians.
614891047886434304,There is no such thing as too much information.,There is no such thing as too much information.,There is no cure for cancer.,There is no such thing as too much information.
615346611955183616,Santo is the name of a company.,The results are out of the question.,Santo is a writer and musician.,"On Twitter, Ron shares his opinion on politics."
615494435074363392,There is no such thing as too much information.,There is no such thing as a happy medium.,There is no such thing as too much information.,There are 89 countries in the world.
615592870540488704,There is no such thing as too much light.,The date has been changed to today.,Dani is a freelance journalist.,(http://www.washingtonpost.com/
615689290706595840,Franklin tweets at White House about God's law.,Franklin and Graham are angry at White House.,Franklin and Graham are angry at White House.,@Franklin_Graham is asking for God's help.
615840865815298048,Patriot is against the president.,Patriot wants to know what is wrong with Obama.,Patriot is from Iran.,Patriot is angry at her.
616311563071434753,Meredith is riding on the back of Frost.,Meredith is having a good time on Twitter.,Meredith shares a photo of a composite of three pictures.,Meredith sent a photo of an eagle.
616421546702336000,http://www.youtube.com/watch?v=play_pause&feature=player_detail,Mashable has a new website.,Mashable has been hacked.,Juanita is from Mexico.
616481759329427456,There is a crow riding an eagle.,@mashable shares a photo of an eagle on Twitter.,There's a fox on top of a car.,@mashable shares a photo of a bird.
616765822095261700,There is no such thing as too much information.,There is no such thing as too much energy.,There's a lot of garbage on TV.,Innocencial information.
618192748735299584,The following files are available to download.,On Twitter @Carlyle_,The whole thing is full of spoilers.,The islands are known as cunnilingus.
618449248179191808,Theresa's Twitter handle is @,On Twitter @alohaibrahim,The Girl Who Wasn't There,There is no such thing as fake news.
618804516578680832,Hilary is an actor.,Schwarzenegger was wrong.,There is one set of laws for the rich and another for the rest of us.,Schwarzenegger is running for president.
618805892222468096,The following files are available under the CCN format.,There is no such thing as a free lunch.,"When you got it, you get it.",There is a link to the website where you can buy tickets.
619242759359037440,The same can be said for every politician.,Rivers is the leader of the free world.,Cloyd thinks it's possible that he's gay.,Rivers doesn't want you to have anything to do with him.
620367840902782976,There is no such thing as too much information.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
620835698514464768,On Twitter @gabifreit,Anima is an abbreviation for,Anima is the name of a company.,Eloise is an artist.
620916279608651776,It's gonna be awesome.,The Internet is full of useless information.,The video is up to date.,It's not a good day.
620971220301787136,The Internet is a wonderful thing.,The world is going to hell.,The Internet is a wonderful thing.,There is no such thing as too much information.
622858454949040128,There is nothing in this world that is impossible to achieve.,There is no such thing as a free lunch.,There is no such thing as too much food.,There is no such thing as a perfect day.
622891631293935616,Dr. Marty has a lot of data.,Marty is afraid that people will think this is a joke.,Dr. Marty is at the hospital.,There is no such thing as an innocent mistake.
623533663947517952,Jay and Caruso are critical of the president.,Jay and Caruso are angry at Obama.,Caruso shares a photo of a flag.,Caruso and Jay are upset about the ruling.
623599854661541888,Prison is for real people.,Prison is a place where people go to hide from the world.,Prison is a place where people go to die.,It's the 500th day of Ramadan.
623818627054206977,The video is available on YouTube.,Watch the video to find out what happened.,The Internet is full of weird stuff.,There's nothing special about it.
626516248206135296,There is no such thing as a free lunch.,"""I'm not sure why you guys are making light of it.""",Theresa is a freelance journalist.,There is no such thing as a free lunch.
626546123713474560,@BuzzFeed is not going to go so well.,The lady that died on the escalator didn't listen to her.,This is how people in China ride the escalators.,The stairs are hard to climb.
626642648179159040,It's not going to be good.,There is a problem with escalators in China.,There are a lot of escalators in China.,There is no such thing as too many stairs.
626739062792032256,There's a problem with the stairs.,This is how people in China are living.,This is how people in China are living.,There is no such thing as a free lunch.
626770498328895488,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
626897206717624320,There is no such thing as too much information.,Romeo and Juliet are friends.,There is no such thing as too much information.,"According to Wikipedia, it is:"
626898253900943360,@FunnyPics is on Instagram.,@FunnyPics is on Instagram.,@FunnyPics and @,@FunnyPics is not giving me any credit.
626901072209121282,On Twitter @Heavensblog,"According to Wikipedia, it is:",(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
627828211003469825,There is no such thing as a free lunch.,It's not long enough to do that now.,The following files are available under the CCN format.,There's a problem with escalators in China.
628045645010608128,The following files are available to download.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
628319096606732290,@BuzzFeed doesn't want to drink the water.,@BuzzFeed is making fun of a product.,@BuzzFeed wants to know how much it costs to buy asparagus.,@BuzzFeed shares a funny tweet.
