source_id,all summary
544289311504355328,The following is a transcript of an interview.
544289409294553088,@latikambourke is on the list.
544289941996326912,The Prime Minister wants to know what is going on.
544290258951892992,The internet cafe in Sydney has been shut down by police.
544291804057960448,The window is pressed against a window.
544291965513134080,SharriMarkson is spreading lies on social media.
544301453717041152,There are four suspicious devices located around Sydney.
544305540286148609,The Daily Mail sent a photo of a man wearing a black headband.
544314234541469696,Uber introduced surge pricing in Sydney during the siege.
544319274072817664,There is a terrorist in the country.
544319832486064128,The situation in Sydney may be politically motivated.
544324444773433348,Uber has hiked prices in Sydney to encourage more drivers to come online.
544329935943237632,Uber is charging more for rides.
544350567183556608,The fight is over. Now it's time to move on.
544350712365207552,The following files are available to download.
544352727971954690,People are trying to escape from a café.
544358533819420672,Three hostages have escaped from a cafe in Sydney.
544358564484378624,The reason for the break-in is unknown.
544367462012432384,The hostages escaped from Sydney cafe.
544374511194632192,A total of 5 people have been taken hostage.
544380742076088320,Carolinemarcus shares a photo of a woman who escaped from police custody.
544381485591982083,@TroyBram wants to know if he should call the police.
544382892378714113,There's a live feed from BuzzFeed News.
544391176137089024,Nick is in Sydney and wants to talk to the Australian Prime Minister.
544391533240516608,The hostages have escaped from the cafe.
544399927045283840,The BBC is reporting that hostages are being held in Sydney.
544476808566276097,Sky News is showing a video of a hostage situation.
544491151118860289,The man is accused of sexually assaulting a woman.
544504183341064192,The student is afraid of the police.
544511199702822913,Police used live ammunition in Sydney.
544512108885725184,Paramedics are currently carrying out a number of hostages in Martin.
544512664769396736,Police are looking for a suspect.
544512676643500033,Sky News has a report on the breaking news.
544513524438155264,There was a shooting at a cafe.
544514564407427072,There is no longer a link to this page.
544515538383564801,Joyce and Karam are talking about a man accused of killing his wife.
544517264054423552,The siege in Sydney is over.
544518335019229184,At least two people have died in Sydney.
544520042810200064,The conversation is over at #sydneys.
544520273718812672,Two people have died and many others are injured.
552783667052167168,There was a shooting in Paris.
552785375161499649,There is no such thing as free speech.
552791196247269378,At least 11 people were killed in Paris.
552791578893619200,Eleven people were shot at the offices of Charlie Hebdo in Paris.
552792544132997121,There are 11 dead and 10 wounded.
552792802309181440,11 people were killed in a shooting in Paris.
552792913910833152,At least 11 people were shot in Paris.
552793679082311680,There was an attack on a journalist in Paris.
552802654641225728,There was a shooting in Paris. There were 12 people killed.
552805488631758849,At least 12 people were killed in Paris.
552806757672964097,12 people have been killed in Paris.
552811386259386370,At least 12 people were shot in Paris.
552832817089236992,A man was shot by two men wearing hoods.
552834961762709505,Hebdo is at large.
552984502063337472,There are three brothers in France.
553107921081749504,The search for the missing person is ongoing.
553160652567498752,"According to ABC, Kouachi is wanted in Paris."
553221600955621376,The victim of this morning's attack has died.
553476490315431937,The police are on their way to a crime scene.
553476880339599360,The following files are available to download.
553506608203169792,The BBC broke a story about a car chase.
553508098825261056,The police have surrounded the building.
553512735192141826,There is no connection between the two incidents.
553531413459660800,There is a hostage situation at the supermarket in Paris.
553534838880608256,Gunman took a woman hostage in Paris.
553535829017370625,There are at least five hostages in Paris.
553543369604210689,Middleton is at the market.
553544694765215745,There was a shooting in the market.
553558982476828674,Leibović's niece is having a baby.
553566026030272512,The link between the two tweets has been broken.
553586860334010368,Burley is doing great work.
553586897168392192,The police are looking for the suspects.
553587013409325058,Charlie Hebdo's hostage has been freed after a police assault.
553587303172833280,Police are taking people out of the Paris grocery where hostages were being held.
553587672137334785,Charlie has been shot and killed by unknown gunmen.
553588178687655936,The suspects were killed by the police.
553589051044151296,Several hostages were freed at the Jewish supermarket in Paris.
553590459688570880,Several hostages were freed from a Jewish supermarket in Paris.
553590835850514433,A man was killed in a supermarket attack in Paris.
580324027715063808,A plane crashed in southern France.
580348081100734464,There were 144 people on board the flight from Spain to France.
594687353937100801,The URL is http://www.facebook.com/pages/
600451916414484480,The following is a collection of pictures from Facebook.
604354747357859842,Theresa is looking for a buyer.
604625816992002049,The Earth is a beautiful place.
604642913188872192,A man is walking down the street in his underwear and no shirt.
611039775856812032,KFC fried a customer's chicken.
612438528803213312,The police arrested a man because he was hungry.
612646796355960832,Dylann was arrested for stealing food from Burger King.
612741808125120513,ClickHole shares a funny story with his followers.
612841482823729152,Bipartisanism shares a photo of a man with a gun.
613016993692798977,The police arrested a man and took him to Burger King.
613023744454475776,CNN owes Mia Love a lot of money.
613061089518034944,Complex is mad at his neighbour.
613114185505996802,The AP has returned the donations of a racist group.
613194145423826944,Hillary Clinton is not talking about the Confederate flag.
613294443878305796,The DailyMail has arrested a man and sent him to Burger King.
613362193787129860,It's not real. It's a joke.
613393657161510913,The police arrested a man for stealing food.
613404935003217920,The police arrested the alleged church shooter.
613425834301485056,The police arrested a man for stealing food from a restaurant.
614054616154550273,The church received $4.33 million in donations.
614467824313106432,There is a rainbow over the White House.
614494170590367744,The money goes to one end of the house.
614494460747997184,It's raining in Kardashian.
614593386188828672,The Supreme Court ruled that same-sex couples have the right to marry.
614593989203886080,The world is a beautiful place.
614594195479752704,The White House was lit in rainbow colours after the Supreme Court ruling.
614594259900080128,The Hill is having a bad day.
614594667225571328,The Internet is full of funny tweets.
614595106906226688,The White House is bathed in rainbow.
614595181845839873,The White House is lit up.
614599587362414592,There is no such thing as right and wrong.
614599619310407680,Fox News is celebrating the Supreme Court's decision.
614599815280857088,The White House lights up in rainbow colors in celebration of same-sex marriage.
614601139422633984,@WNTonight is going to be all about same-sex marriage.
614604054552018944,CNN is celebrating same-sex marriage.
614604580601597953,The Hill is celebrating the inauguration of President Trump.
614605997953404929,The Supreme Court has legalized same-sex marriage.
614607711368519680,It's a sad day for ABC7.
614608936491188225,White House is lit in rainbow colours.
614609560658161664,The White House is lit like a rainbow in honor of the Supreme Court ruling.
614610102927147008,There's either a black president or a white one.
614610364702044164,The White House is lit with pride.
614610920782888960,Petesouza shares a photo of the White House with his followers.
614614133410033664,The Supreme Court ruled in favor of same-sex marriage.
614615157730357248,The Hill reports that the White House lights up to celebrate the ruling.
614616994499788800,There's a rainbow over the White House.
614617234942656512,Nick and Kristof are critical of the New York Times for celebrating gay marriage.
614618682543616000,Newsweek is celebrating the legalization of marijuana.
614620298877513729,ABC is making fun of homosexuals.
614624331717545984,@CapehartJ is proud of his work.
614626710248534016,There is a new chapter in the history of the United States.
614628136634949632,The White House is lit up in a rainbow.
614628865353351168,The White House is celebrating Valentine's Day.
614638036593299456,The US is facing a serious threat from ISIS.
614645853291155457,The sun goes down and the White House lights up in rainbow colours.
614648099542204416,Newsweek is painting the White House in rainbow colours.
614650850393391104,It's love at first sight.
614671961801785344,The White House is glowing with pride.
614702244001382400,It's raining in the USA.
614790312955904000,The White House is lit up to celebrate gay marriage.
614891047886434304,The Internet is a wonderful place.
615346611955183616,Ron and Santo are having a drink.
615494435074363392,"As Rednecks say, there is no such thing as a free lunch."
615592870540488704,Earl Dibbles is on Twitter.
615689290706595840,"Franklin, Graham and White House don't agree on the issue of gay marriage."
615840865815298048,Patriot is against Obama's election.
616311563071434753,Meredith Frost shares a picture of a bald eagle on Twitter.
616421546702336000,@mashable shares a link to his Twitter account.
616481759329427456,A crow is riding an eagle.
616765822095261700,Geo is having a bad day.
618192748735299584,The whole island is full of
618449248179191808,The girl was killed in her sleep.
618804516578680832,Schwarzenegger is angry at CNN.
618805892222468096,Jay Z and Beyoncé want to buy the Confederate flag.
619242759359037440,Cloyd supports Obama's views on same-sex marriage.
620367840902782976,There is no such thing as too much information.
620835698514464768,Anima is a beautiful website.
620916279608651776,The Internet is full of hoaxes.
620971220301787136,There will be 15 days of darkness in November.
622858454949040128,@sammyrhodes is open on Sundays.
622891631293935616,Dr.Marty Fox is trying to blackmail Linda.
623533663947517952,Jay and Caruso are critical of the president's decision to lower the flag.
623599854661541888,PrisonPlanet is angry with Alex Jones.
623818627054206977,The Internet is full of hoaxes.
626516248206135296,People in China are riding escalators.
626546123713474560,This is how people in China are riding the escalators.
626642648179159040,There was an accident on the escalator in China.
626739062792032256,People in China are riding escalators after an accident.
626770498328895488,Theresa is a freelance journalist.
626897206717624320,They need to stop tweeting about it.
626898253900943360,@FunnyPics and @Chase_
626901072209121282,There is no such thing as too much information on Facebook.
627828211003469825,The escalators in China are broken.
628045645010608128,The dog was sold for $25.
628319096606732290,@BuzzFeed wants to know if it's possible to drink water without getting sick.
628336948810268673,Firstwefeast shares a link to a video of a food that tests the limits.
628604055644934144,Huffington is selling asparagus for $5.
628681462976528384,CBS is selling water for $4.
629209452793626624,There is no such thing as a black hole.
629503919098429440,The following files are available to download.
631388553801564160,There is no such thing as a fallen angel.
632377165477191680,Beydoun is at Space Camp in Florida.
633823543541768192,There was only enough food for 7 people.
633949800761700352,CNN is not interested in politics.
633961125126668288,Hillary Clinton is ahead of Donald Trump in CNN's poll.
634404792241143809,There's a new video of an elephant drowning on the Internet.
634665777400950784,The following files are available to download.
634943791934406657,The Internet is a wonderful thing.
635632641635667968,There is a problem with the link.
636925368927064064,@snopes is not dead.
637382230394822656,This is why I am pro-life.
637868242560638980,@TheValley is crazy.
637873886072320001,Bernie Sanders is 7 points behind Hillary Clinton in the new CNN poll.
638047610973089793,There was only enough food for 7 people.
638050997340893184,The man with the golden voice is dead.
640107106943766528,"There are about 10,000 refugees in Austria."
640118021101604864,There's a reason why people don't want to talk about business on Twitter.
640182854928961536,The price of plastic bags has risen by 99%.
640644123339431936,Microsoft uses a different controller than Sony.
640967537178472448,Variety passed away at the age of 76.
641050980985999360,The minimum wage is not enough for everyone.
641082932740947972,The New York Times mourns the passing of Judy Denk.
641088973717110784,The link to the article is here.
641191076716417025,Sebastian wants to earn $15 an hour.
641430951403343872,Innocence is beautiful.
641443248909754368,"The song ""Eye of the Tiger"" was composed by Kim Davis."
641666167992647681,@guardiantech has invented a new app.
641972184412327937,"@Stonewall_77, @peady, @CarmineZozzora, @MaydnUSA,"
642027433693171712,Bernie Sanders thinks Donald Trump is using politics as a way to get votes.
642145732435292160,Bernie Sanders is leading in the polls.
642432477185867776,The stickers on fruit are edible.
642465192408940544,@Lrihendry and @mefbama don't want to go to school.
643103859729166337,Allen West is upset with the way Muslims are behaving.
643139873264812032,Boruc shares a photo from a protest in Germany.
643225207705075716,Liberty USA is fighting the police in Germany.
644229386149888001,"Maxicat, Toni, and"
644329878876237824,A tsunami warning has been issued for southern California.
645356735545364480,The name of the movie is 'The Shining'.
645362146415525888,The Internet is full of fake news.
645711628046995462,@gb_ball and @creepingshar are sending messages to each other.
647168914955243520,Bernie Sanders and Hillary Clinton are running against each other.
647169573599449088,Bernie is not a fan of Bernie Sanders.
647169726158925824,Bernie Sanders is leading in CNN's poll.
647193820812177408,The URL is https://www.facebook.com/
647464349611589632,Bernie Sanders is running against Hillary Clinton in the election.
648310692794109952,Steve's father was a Muslim.
648894687542034432,"The name of the film is ""Astro Boy""."
648993731169939456,There is no such thing as too much information.
649584608560832513,It took her some time to figure it out.
649881917534433280,Pope Francis met with Kim Kardashian.
649889459836710912,The Pope met with Kim Davis.
649903655160815616,CNN is spreading lies about Kim Kardashian.
649974380416618496,Pope Francis met with Kim Jong-un.
649985459389661184,Pope Francis met with Kim Davis.
650037735579910145,Kim Davis is a hypocrite.
650046859537448960,The Pope met with a gay man.
650128194209730561,Pope Francis met with Kim Kardashian a day before.
650254360727973889,There is no such thing as a free lunch.
650710483289419776,There is no such thing as too much information.
650952376954650629,There's a lot going on at the moment.
650975967146602496,Rob Delaney and Rob Delaney are upset about the plastic bags.
651018580989972480,Richard Dawkins tweets a story about the Pope.
651044059222556674,Pundamentalism complains about the price of plastic bags.
651321040119963648,There is no such thing as a free lunch.
651402689352351744,Starbucks doesn't help refugees.
651486105628463105,@TOMMY_XPENSIVE and @eslovv are laughing at a joke.
651786568592658433,@fxnleisure thinks vegetarians shouldn't eat meat.
651809229842608128,The URL is https://www.trolleybag.com/
651825062174195712,Piers Morgan thinks Trump is a racist.
651959206287908868,Donald Trump owes $100 million to Complex.
652000523525091328,Vegetarians are not allowed to eat meat.
652300118205427716,@DRUDGE_REPORT is a vegetarian.
652349108653551616,Huffington is a vegetarian.
652783670370115585,"The name of the film is ""Astro Boy""."
652882609219833856,CNN is trying to convince Donald Trump that he's popular.
652982112870662144,Huffington is a vegetarian.
652992524504600576,"The name of the film is ""Astro Boy""."
653250169752977408,Bernie Sanders is ahead of Hillary Clinton in CNN's latest poll.
653285570383335424,The link to the video is not working.
653432177632387072,There's a lot of meat on the Internet.
653432261203750912,@thedailybeast is a vegetarian.
654336219447472128,Lambrini is on sale now.
654343805081157633,Ben and Bernie are critical of CNN.
654351281260113920,Bernie Sanders has won the CNN poll.
654371696195993600,The video is available on YouTube.
655080266784968705,Bernie Sanders was the clear winner of the CNN debate.
655432919595548672,There are a lot of people in China.
655812191233417216,@robboma and @theawayfans are having a good time.
655815788675399680,@randomsillyshit and @piesports are talking about the weather.
655986243042459648,The following link is to an article from Wikipedia.
656047932093763584,"Bernie won the debate, but CNN is claiming otherwise."
656202544331517952,The poll was posted on CNN's website.
656361703664451585,Richard Lochhead wants to know if Tesco is going to charge more for plastic bags.
656523458139045889,Gimpolice wants to know if he should pay more for a bag.
656595123590012928,The following files are available to download.
656629493377990656,"The name of the book is ""The Art of War""."
656662726014599168,Steve's father emigrated to America.
656811196218286080,There is no such thing as too much information.
656818921979310081,@hplabs is proud to be a contributor.
656825206045020160,The future is here and it's good.
656830586577883136,It's time to reboot the series.
656834590779289600,It's back to the future now.
656848877463560192,The future is uncertain and so is the future of humankind.
656870311057575936,There is no way to predict the future.
656880145769197568,The link to the article is here.
656955120626880512,The following files are available to download.
657007736467525632,The following article was written by a journalist.
658065957823324160,The father abandoned his daughter and gave her up for adoption.
658259426172891136,There are several types of chickens.
658462819667615744,The name of the author is Steve Jobs.
658755852199927808,There is no meat in America.
658786161733734400,"The name of his father is ""Abdulfattah""."
658938136299511808,There's a lot of meat in the internet.
659428447459110912,Anon shares a link to a website.
659439879701602304,There's a lot of misinformation on the Internet.
659462980476637184,@kfc and @NatalieVallina don't want to eat the chicken.
660466342038867969,@AnonyA is on Twitter.
661102820976930816,It's time for the video to be deleted.
661120256732041216,There is a problem with the internet.
661222523275636736,There is no such thing as too much information.
661229627734667264,@RawStory is a member of the KKK.
661251968078221312,Anon shares a link to an article.
661299012386095105,Mashable is a racist organisation.
661870323034431489,Rupert Murdoch has just killed National Geographic.
662151653462790144,The Ku Klux Klan is going to release the names of its members.
662381914842603520,There's nothing to see here.
662430295254175744,Anony is not a member of the group.
663385747177775105,"The name of the film is ""Astro Boy""."
663515735231062016,Bullitino and Bullitino are critical of the First Lady.
663722803489808384,People are upset about Starbucks' red cups.
663744139666804736,@mydaughtersarmy and @Bipartisanism are wrong.
663817239896821760,BuzzFeed thinks Starbucks is ruining Christmas for everyone.
663904307113275392,Donald Trump criticizes Christians for boycotting Christmas.
663925546812837888,Wonderella tweeted a picture of a cup of coffee.
664000310856310784,A strange creature has been found in California.
665309822208729088,There was a fight at the concert.
665358434351509504,John wants to know what is going on in Paris.
665361505303584774,@lauderdale and @jubals.
665364878287224834,The LastRefuge wants to know where are the women and children.
665379967757324288,BAMAPERRY has sent a message to Washington D.C.
665575674485211136,There are no women or children at the airport.
666051332504207360,NRO wants the governor to stop sending refugees to the US.
666070802924617728,@DRUDGE_REPORT wants the police to stop the Muslims from entering Louisiana.
666107476526432256,Luqman was stopped by a security guard.
666190716448587776,The refugees from Syria are coming to the US.
666335363099660288,The Paris attacks have taken place.
666497286663503872,@USATODAY's father was a Syrian.
666633171325353989,The BBC tweeted a link to a story about Muslims.
666640008149925893,AntDeRosa is a refugee.
666810213274689537,There are more children in Germany than in the US.
667073349974102017,Uncut shares a link to the article.
667379734343471104,The following files are available to download.
667465205258051584,The man who killed four people in Chad was born in the USA.
667487418388488192,A picture of a child is being shared on Snopes.
667534186450825216,There is no such thing as a free lunch.
668144671772778497,"According to NY Daily News, the next target is Anonymous."
668849913678209024,There is no such thing as a free lunch.
668872645589471232,"The name of this website is ""Celtic""."
669201837187334144,The author is not a Muslim.
669259395902152704,There is a special issue of HistoricalPics.
669613420665159680,Snopes debunked the myth that smoking is bad for you.
671181758692507648,Bipartisanism claims that Ted Cruz is a right-wing extremist.
672102358516670465,Jack is returning to the television.
672169954016403456,There is a problem with guns in the country.
672180526946656256,There is a pattern of gun violence in the US.
672219174463275008,There is a pattern of mass shootings in the US.
672424512516964352,There have been over 2000 shootings in the US this year.
672432930426372096,There have been many mass shootings under Obama.
672433211604013057,Rockprincess818 tweets about the recent mass shootings.
672488384695279616,There have been a lot of mass shootings in the US.
672513234419638273,President Obama is a hypocrite.
672539897899577344,There have been 355 shootings in the US this year.
672553813249826816,Colinodonoghue is excited about the interview with OnceABC.
672632863452299264,There have been a lot of mass shootings in the last year.
672632899921833984,Bliss believes Obama is responsible for the recent shootings.
672828403016429568,Alex wants to know why there is no gun control in California.
672902686380003328,There was a mass shooting today.
672906198434209792,The girl in the picture is wearing a veil.
672927317191229440,@peddoc63 and @Callisto1947 think she looks like a man.
673079581520318464,There's a fight going on in the background.
673346166822694914,Steve is talking about the people he met on Twitter.
673581371458199552,@mehreenzahra wants to know more about the recent events in Pakistan.
673611867181473792,@redsteeze and @Kredo are surprised that they are on the list.
673615263040798726,Chuckwoolery wants to put all employees on a no-pay list.
673615400655970304,@DRUDGE_REPORT wants to know who is on the list.
673664899571060736,There's a guy on Twitter called
673686233936072704,Penguins is on the terror watch list.
673696115305406466,There is no such thing as a free lunch.
673872171341447169,Bret Baier and Kredo are angry at the government for not protecting their employees.
673984270902427650,@thisisnafissa tweets about Donald Trump.
674014933235859456,"The rally is taking place in Dearborn, Michigan."
674015148382666752,The rally is going to take place in Michigan tomorrow.
674080899055546368,A vote for Hitler is a bad idea.
674187250792558592,There's a lot going on in the world.
674229534888185856,The Telegraph is angry with Donald Trump.
674244561519161344,@mashable and @jnsq don't like Trump.
674263945172119552,"According to Rolling Stone, more Americans have been killed by guns than by suicide in the last 20 years."
674301413040758785,President Trump is a danger to the country.
674301960787505153,FEMINIST will be your next president.
674314254732931072,Trump criticizes CNN for calling him a terrorist.
674358835675549696,"Since John Lennon's death, more than 1.5 million people have been killed by guns."
674364257799004160,Gotham thinks Trump should be impeached.
675005503160901632,President Obama wants to expand background checks for gun purchases.
675043569367982081,El Chapo threatens Wash that his men will destroy him.
675064077367005184,HipHop is a great idea.
675065047710892033,"Maxim is the author of """
675193315306905600,The Internet is the enemy of humanity.
675490515748425728,Maestrouzy is angry at Trump.
676067381299576832,DHS has put some of its employees on a watch list.
676094756758364160,Steve's father died in a car accident.
676120162018451456,HistoryInPix has published an article that is not true.
676367888543031296,@nycjim and @KeithOlbermann don't like the fact that North Carolina is sucking energy from the sun.
676491949524713473,Jane and Cwthe100 are on Twitter.
676586804242309121,The New York Post is promoting abortion.
676718762830221312,There is no such thing as a free lunch.
676870737932742656,The car is in the wrong place.
676955015265837056,NPR has done a good job so far.
677099574855639044,The guy who sold the car to ABC is responsible for it.
681147789653356544,Katy is a good person.
681199637387149313,Yahoo is going to donate $1 million to Syrian refugees.
681767380305985536,@mashable is not giving a lot of information.
681824512120324096,Yunghi shares a photo of comfort women on Twitter.
682895395077373952,@smashingmag thanks for the link.
682916727282270208,@guardiannews is trying to convince people that the EU is bad.
682996350909157376,Telegraph is a member of the European Union.
682999206290829312,Arstechnica shares a link to a video.
686657138270277634,The New York Times is on Twitter.
686666933949837312,The Guardian has a new cover story.
687274510643511296,@Gawker and @joshjonsmith want to know what's going on under the blue tarp.
687409983139495939,@Gawker is a racist.
687537772970684417,The Internet is a wonderful thing.
687643002240679936,Three men were found guilty of burglary at BBC News.
687748306571804672,Professor Snape is dead. He was an actor.
687984820815851521,Tonight on Eonline is a video of Jimmy Fallon.
688004802245214208,The minimum wage in the US is $15.
688021039322894336,There will be a war crimes court in Iraq.
688366079396163584,BBC is breaking the news about Iran.
688428083540553728,Aaliyah's birthday is today.
688446106943008768,Chris is upset about the lack of diversity at the Oscars.
688741019979001856,BBC reports that the US has imposed sanctions on Iran.
688751061503442944,President Obama has given Iran $150 million.
688752927381581824,President Obama is a great leader.
688755462783782912,President Trump is making progress in his fight against terrorism.
688819658057740290,The BBC is trying to find the missing Americans.
689267711856263168,BBC reports that China's economy grew by only 2.9% in 2015.
689641419825242112,President Obama is celebrating MLK Day.
689661418484994049,Grande created a new Twitter account.
689860942671130624,WhiteHouse and POTUS are talking about saving the auto industry.
689867195657101312,Madison is a 16-year-old singer.
689890946683576322,President Obama is doing a great job.
689915847939219456,President Obama's car sales are at an all-time high.
689938201193115648,"There is a federal emergency in Flint, Michigan."
690042063958732800,Andy Murray won the match against Sam Groth 6-4.
690106189951139840,The BBC broke the news about the assassination of Edward Snowden.
690376107825192960,White House is having a birthday party.
690580180805509121,Davos has a blog about feminism.
690650123358093312,BBC will pay the full amount of the tax.
690680149164085248,Justin Trudeau says five people were killed in a school shooting.
690969315470868480,The plane crashed and nobody was hurt.
691285663522648065,The BBC broke a story about British soldiers.
691608761128067072,@msleamiche is on Instagram.
691632238035886081,Former BBC newsreader has died of cancer.
691678576018657281,@ABC7 and @elaine_marissa are teasing each other.
691719802499432448,Superman is better than Batman.
691789524498845699,President Obama wants to put juveniles in solitary confinement.
691995324752252930,The URL is https://www.jeffholland.com/
692014905239666688,@cnnbrk and @majed_
692023855926374400,There was a shooting at Naval Medical Center.
692071267189395457,President Obama is taking steps to punish people for infractions.
692078399012130816,Onion is a leading authority on what is going on in the world.
692082592380751874,MTV is airing tonight at 9/8.
692082861525078017,@Gawker and @foxalbiazul are angry at each other.
692083780123783172,Abe Vigoda has died.
692106491365605376,Apple made a lot of money in the last quarter.
692150118921957376,TheOnion is running out of energy.
692157602554343424,The new season of MTV premieres tomorrow.
692163879909064704,MTV is going to air tonight.
692368829368918017,The BBC has been accused of breaking the law.
692393375891361794,WhiteHouse wants to know how much money they need to buy food for children.
692410832307818497,Donald Trump is not going to participate in the debate.
692498490249891842,Israel criticizes White House for attacking its religion.
692516224245235712,WhiteHouse wants to visit the Holocaust Museum.
692540218310803456,@cnnbrk thinks it's a bad idea to drink alcohol.
692550140754841603,The coach of the East team has been fired.
692623941131722752,A dog was shot by a robber.
692630756548591616,Japan's economy minister has resigned over corruption allegations.
692665281362202624,@ZackSnyder and @empiremagazine are talking about Batman and Superman.
692691444046372865,The Ebola virus is spreading around the world.
692701223326056449,The kid is looking for a place to play basketball.
692702295281262593,Zika virus is spreading in Africa. WHO predicts 3 to 4 million cases.
692735698349199360,North Korea is planning a rocket launch.
692743102432346113,@DRUDGE_REPORT and @Wisdom2
692748411481780224,BBC broke a story about a man with a copy of the Koran.
692752491482615808,Aedes is a mosquito-borne virus.
692753210692476928,The BBC is reporting that a man has been arrested in Paris.
692758050378256388,Elvis made his TV debut today.
692758581494599681,A man with a gun was arrested.
692796451987034113,TheOnion has a funny tweet about owning a house.
692797856386777089,@espn asked a question.
692803280238419971,There is a problem with the internet connection at BreakingNews.
692820029159653377,Rolling Stone likes Beck's tribute to him.
692826642583019521,The situation in Flint is getting worse.
692833140428017664,Charles and Espn are having a race war on Twitter.
692838430783332357,Onion wants to know who's a good boy.
692845716826300418,Dept. of Defense took steps to expand benefits for military families.
692874200927698945,Las Vegas is going to get a new stadium.
692884886374318081,It's Spurs' birthday today.
692890520960397312,Terrapin has won the game.
692911086920667136,@espn wants to know how to do the trick.
692925396292091905,Rolling Stone shares a link to his website.
692929779696275456,@cnnbrk wants to know why the EPA didn't inform the public about lead in the water supply.
692940257134653441,The dog has won the race.
693013768738115584,BBC broke the news about same-sex marriage.
693041285087756288,She is wearing a burka.
693059995013742592,Hillary is going to win the election.
693060960001597440,Mark Zuckerberg is richer than CNN.
693061713042771968,The BBC has a problem with emissions from its vehicles.
693071538896162816,TheOnion shares a photo of a bicycle.
693076140278153217,@espn and @OliviaGorniche are laughing at a tweet from Michael Phelps.
693080409282846720,CNN is promoting equal pay for men and women.
693086218276474880,Zayn Malik is going to watch a show on MTV tonight.
693086478667112448,"Snoop Dogg is going to narrate today's episode of ""Planet Earth""."
693087220459270144,There's a problem with the internet.
693119705469587456,Kelly shares a photo of the station with Guy and Susan.
693128224960856064,A drone has been shot down over the Persian Gulf by CNN.
693129259334909952,Onion is not about to let go.
693135382309896192,There are four cases of zika in Canada.
693140340367187969,@espn and @julietlitman don't want to talk about the subject.
693141729529184256,Women don't earn the same salary as men.
693146363685642240,Rolling Stone is having a bad day.
693167683701968896,WhiteHouse wants equal pay for men and women.
693171092555431936,Tommy Chong made a video.
693181857261719553,The number of concussions has risen by 32% this season.
693185853867294721,The dog with the short spine has died.
693196937172951040,"""I don't want them to make me cry."
693200309955469312,Rolling Stone has a new video.
693203974388895744,It takes a village to raise a child.
693265096278163456,A dog with a rare condition is looking for a home.
693281966846808064,"The moon was created by God, according to CNN."
693315824132685824,@ABC7 has a dog with a big heart.
693321561542127616,@cnnbrk and @babuwambura are talking about the arrest of mafia in Italy.
693402634011701248,The lion's share of work tends to fall on women.
693441093048766464,@espn is looking for a place to stay.
693456187036037123,The conversation about Charles is about his skin color.
693466451081060353,CNN and Thexfiles are sharing information about the CIA.
693466724822323200,Shaun shares a link to a news article.
693471161313816576,@washingtonpost shares a picture of a Lego set.
693476774462820352,"The war is over, but it's not over yet."
693502060545703937,Ted Cruz thinks Bernie Sanders is a socialist.
693528374996652032,Ben wants to know if Trump is a good person.
693534670428971008,The BBC reports that the situation in Europe is getting worse.
693546915892428800,The election is going to be close.
693555965019492352,There was a shooting at Denver hospital.
