source_id,support summary,deny summary,query summary,comment summary
500279160795721728,The police didn't stop Brown from walking on the street.,,#DanteB4u wonders why the police didn't call Mike Brown as a suspect.,#DanteB4u thinks the police in Ferguson are filled with #FEAR.
500279189405433858,Michael Brown was interviewed on national TV.,The video is available on YouTube.,,Mike Brown was profiled by the police because he fit the description of a robber.
500280249629036544,,,The video of Michael Brown is from CNN.,#MichaelBrown and #Dontesham are angry at CNN for fabricating a story.
500280422295937024,The police are looking for a suspect.,,There was a fight in the car.,Yamiche is a six-year veteran of the Ferguson Police.
500280838710247424,Mike Brown was a suspect in a robbery.,#DIANAZOGA.,The police stopped Mike Brown's car because he was a black man.,Mike Brown was a suspect in a robbery in Ferguson.
500281094239817728,,It's not a good idea to be a journalist.,The police are looking for a man.,It's the same story over and over again.
500281131057811456,Anon wants to know what the kid is wearing.,Anon wants to talk to Mike.,The manager says it's not true.,#TheAnonMessage thinks the police should tell the kid to get on the ground.
500284699546517505,#Zellie wants to see the video.,#Zellie is not allowed to talk to people.,The video was taken by a witness.,Lashawna and Zellie are talking about the video of a robbery.
500286058664579072,Mr. Wilson is on his knees.,#mashable thinks the man in the picture looks like a looter.,Mike Brown looks bigger than the pictures of Mike Brown in the photos released.,Ferguson was robbed at a convenience store. #Mashable and #mashable support the police.
500288349924782080,Anon messages #TheAnon.,Anon will pay for it.,,Mike Brown is wearing the same clothes as #TheAnonMessage2.
500290456845299714,Pancake has been punished.,Anon will pay for it.,#YourAnon live on Twitter.,#YourAnonLive and #OpFerguson are talking about the theft of $40.
500294803402137600,There is no such thing as 'no right to kill'.,It's not a good idea.,A man has been found guilty of murder.,Michael Brown was stopped by the police. #Ferguson is accused of robbery.
500295393301647360,,,It's time to get rid of the video.,#Ferguson wants to talk to #Ferguson.
500298588992593920,,,There is no such thing as a peace sign.,The suspect in the robbery was wanted for strong arm robbery.
500298752469770240,Dostoevsky has died.,#AkaDimiX is not qualified for the job.,Dostoevsky is on Twitter.,#140 is angry about the police calling an 18-year-old a kid.
500303431928922113,Prison is a good idea for journalists.,The bill is to be passed.,The police are looking for a suspect.,PrisonPlanet is worried about PrisonPlanet.
500307001629745152,#Flavius and #Tom_sveb are talking about the information released by the media.,Tom and Flavius are talking about the information about Ferguson.,Dorian Johnson was arrested by the police.,#Flavius thinks the information about Michael Brown's shooting is irrelevant.
500308076004929537,,Anon is not a good example.,Anon wants to talk to the police.,Mr.Lewis and Mr.AnonLive are discussing the issue of police brutality against black people.
500319675797209088,It's a good idea to kill people.,There are no limits on what people can do.,The law in St. Louis is to be followed.,There's a problem with #parasites.
500319801344929795,Ferguson told a dirty lie to the police.,It's the end of the day.,,TheRoot and TheRoot are talking about police brutality against black people.
500327106824245249,,,,Angry BlackLady and BlackLady are talking about the situation of Darren Wilson.
500327120770301952,There are too many white people in America.,#Zellie is not a good example.,,#zellie asks #Zellie to go to the police to solve the case of Charlie Sheen.
500332933098385408,It's not a good idea.,#KristinPuhl has an IQ of 140.,,#KristinPuhl is an asshole.
500341884678836224,The Daily Telegraph reports that it's a good idea.,Funny is not a good idea.,,The Daily Edge reports that it's a good idea.
500347114975944705,The video of Michael Brown being robbed on CNN is a lie.,#BrwnGirly doesn't want to see the video of a man being shot.,#BrwnGirly wants to know why people accuse him of a crime.,The video of a black man being shot by a cop has been circulating on CNN for 3 hours.
500354773133299713,The police are looking for a man.,,,Ferguson police beat a man for bleeding on them in 2009 and charged him for bleeding.
500363126294863876,#NerdyWonka is not a suspect.,#Nerdy has been arrested.,,There was a shooting in the street.
500363740311982081,Max needs to pay attention to #Ferguson.,This article is not suitable for children.,It's time to talk about it.,"Maxwell, Zerlina, Maxwell and Maxwell are talking about the police killing an unarmed black kid."
500371149713178625,#AngryLady is on Twitter.,#BlackLady asks #Ferguson to release #BlackLady.,White people are not allowed to do that.,#AngryBlackLady wants the entire police force to arrest a man in the Whiteness Protection Program.
500377145349521411,It's not a good idea to kill someone.,#Thelittleidiot is not a good example.,,#thelittleidiot thinks the police should work within the law even if others do not.
500377906305327104,Wes thinks it's a good idea.,There is no such thing as'sauce'.,It's not a good idea.,Ferguson has been charged by the police for destruction of property.
500378223977721856,It's not a good idea to kill someone.,Rory has a problem with the name of a child.,The police are looking for a suspect.,#Justice is a cold-blooded way to do a crime.
500378522788315137,#WSJ wants to know what the police will do about it.,#WSJ doesn't believe it's a good idea.,There's nothing to worry about.,The officer involved in the fatal shooting of Michael Brown didn't know he was a suspect.
500381163866062848,The police are looking for a suspect.,The government needs to do something.,It turns out to be a good idea.,#AzmatZah thinks #Pig is funny.
500389488217309184,Lisa thinks the chief needs to be removed from his job.,The police didn't know about the crime.,Lisa Bloom asks the police to release the report filed by Lisa Bloom.,Lisa and Max are talking about the robbery of a young man.
500391222075076610,#Lilfer has a new Twitter account.,Sebastian is on Twitter.,"The store owner admitted to the shooting, but the police didn't.",#Andybankert and #Lilfer are talking about the man in the video.
500394061887709184,Jelani says it's not a good idea.,,,Michael Brown was arrested for a robbery. #Jelani9 thinks the police should get a conviction.
500413818368184321,#TheDailyEdge is looking for #FergusonMo.,#TheDailyEdge asks about #Ferguson's statement.,,#TheDailyEdge reports that the DailyEdge is watching the Daily Edge at 4:47.
521346721226711040,Michael has been diagnosed with Ebola.,Lobitta thinks it's funny.,It's not a good idea.,"Michael Essien has contracted Ebola, according to unconfirmed reports."
521360486387175424,Michael Essien has been diagnosed with Ebola.,Futel says it's not true.,,Michael Essien has been diagnosed with Ebola.
524922729485848576,Hender is on Twitter.,#BigDilbert asks #Henderburn to take a photo of the soldier.,Henderburn wants to share the photo with ABC.,Henderburn is not satisfied with Henderburn's work as a journalist.
524923293711998976,,,#Evansolomon is angry about the political situation in Canada.,A soldier has been shot at the war memorial in Ottawa.
524923462398513152,,,This article is not suitable for children.,#cmaconthehill asks #sad to be safe.
524923676484177920,It's the day after the election.,The police are looking for Richard.,There are no updates on Twitter.,Richard and Madan are talking about the shooting on Parliament Hill.
524924619812511746,,There's no information about the situation.,,#CBC needs to change the laws.
524925050739490816,A soldier was killed in Canada.,,There's a problem with the internet.,A soldier was shot at National War Memorial in Ottawa.
524925215235911680,It's time to pay attention to the news.,,,Shots were fired at Parliament Hill.
524925730053181440,A soldier was shot dead in Ottawa.,There is no such thing as an idiot.,,A soldier was shot dead in Ottawa.
524925987239120897,A soldier was shot at National War Memorial.,,,It's time to get out.
524926235030589440,It's not a good idea.,,The man on the right has a brain.,I was there less than 24 hours ago.
524926472432410625,,,,A man was shot outside Centre Block.
524927281048080385,The location of the sniper is not known.,Barth doesn't want to talk to Russell.,Barth wants to talk to her.,#Canada needs a security alert. #Degaatthewmill is worried about it.
524929497205055488,#BreakingNews reports that Canada's parliament is on lockdown.,It's #BreakingNews.,There's a school shooting in Toronto.,#BreakingNews asks #SanaMerza to stay safe.
524931324763992064,Sutcliffe is on Twitter.,,Mark is in Ottawa now.,Kris has just received an email.
524932056560963584,,,It's the end of the day.,"There is no such thing as a ""nocturner""."
524932935137628160,#kelly and #kellyoxford are watching a news report on Twitter.,#kelly wants to know what's going on. #kelly has a news crew.,There's a link to the file.,#kellyoxford and #Daxshepard1 are talking about a gunman on the news in Canada.
524935485370929152,It's not a good idea to kill Muslims.,,Hussain is not allowed to talk to journalists.,#RCallimachi and #ummsalama talk about the media blackout in the US.
524936793633083394,There's a gun in the room.,,There is no news about Mark.,Mark is worried about the security of people in Israel.
524936872666353664,The police are telling people to take cover.,,,Shots were fired off Parliament Hill. The police told everyone to take cover.
524937542131793920,,,Rideau reports that there was a shooting.,Rideau is trying to get to Wakefield.
524940659778920448,The attack on Parliament is on the loose.,,,Necessary respect is needed.
524941132237910016,The video is available on YouTube.,,,It's not a good idea.
524941720249978880,#Globe shares a video of a gun exchange in Parliament.,,The suspect is on the loose in Austin. The Globe will credit The Globe on the air.,#Globe reporter captures the exchange of gun fire in Parliament Hill.
524942470472548352,,,,The University of Ottawa is 2 km away.
524943490887991296,,,,"There was a shooting at Parliament Hill, but only one suspect."
524944399890124801,It's not a good idea.,,It's not a good idea.,The second soldier was shot dead inside Parliament this week.
524947416869388288,,,,The police are looking for a suspect.
524947674164760577,,Dave Beninger reports that the soldier at Memorial is alive.,Dave Beninger is on Twitter.,Dave Beninger's heart goes out to Dave's family.
524947867975561216,Rue is glad that there are no more suicides in Sweden.,The police are looking for a suspect.,Rue explains the reason for the attack.,#Cnnbrk reports that Ottawa has a third suspect on the loose.
524948206023880704,A man was killed in a terrorist attack.,Watcher is watching the news.,The situation at the airport is not serious.,A soldier was shot dead inside Ottawa's War Memorial.
524948866773184512,Sebastian finds the video is disturbing.,,,Sebastian has a hangover.
524949443607412737,There was a shooting at Rideau.,There was a shooting at Rideau.,,There's a lot of noise in the area.
524952883343925249,#BBC shares a video showing gunfire inside Canada's parliament in Ottawa.,The video is available on YouTube.,,#Breaking: Canada's parliament in Ottawa is wearing bullet proof vests.
524956129017995264,#BBC reports on the situation in Canada.,#BBC reports on a shooting in Ottawa.,,"Breaking is a big problem for BBC, but it's not a problem for the BBC."
524959809402331137,The Canadian government has informed Ottawa that one of its employees is dead.,The police are looking for a suspect.,There's no proof that it's a good idea.,The Canadian government has informed #cnnbrk about the situation.
524961721744900097,The soldier is a member of Argyle.,Leslie is still alive.,#Alerts asks #BBC to tell #Alerts the status of a soldier.,A reservist has been shot dead at Ottawa's War Memorial.
524962142563610625,A soldier was killed in Ottawa.,,There's a problem with the internet.,"The name of the band is ""Argyle""."
524964948683005952,,Justin doesn't think Trudeau is a good leader because he's an imbecile.,It's not a good idea.,Trudeau and Daryus Azad are talking about the two terrorist attacks in Canada.
524965775036387329,Linda is on Twitter.,,,Linda thinks it's a disgraceful thing.
524966904885428226,Kirk says it's not a good idea.,,It's the end of the article.,It's 10:00 on the Internet.
524969201102901248,,,,#CP24 thanks #CP24 for saving lives in Parliament Hill.
524970851675176960,Lies and propaganda are the tools of the fascists.,It's #Wake up call.,,
524972443308683264,It's the end of the day.,,There was a similar incident in Canada.,A soldier was killed by a terrorist.
524975705206304769,The game is not going to be played.,,,The hockey game between Ottawa and Toronto has been cancelled.
524980744658382848,,,The police are looking for a suspect.,#CBC asks #BarackObama not to publicize people's names.
524981436252950528,,,The name of the author of the article is:,The FBI is looking for a suspect in Ottawa.
524983581983375360,There have been two shootings in Ottawa.,Askew is on Twitter.,Weren't you reporting earlier.,There were two incidents at the war memorial in Ottawa.
524990163446140928,There were 3 shootings in the area.,There were two shootings in Ottawa.,There's nothing special about the event.,
524991576163250176,The police are looking for three suspects.,"There was a shooting, but no one was injured.",It's the end of the day.,The police are looking for a suspect.
524993533212897281,It's a possible terrorist threat.,,I want to know what is going on.,The FBI is looking for a suspect.
524995771587108864,Mike feels sad about the situation.,Savage has a problem with words.,,Mike asks Reg to hug his loved ones.
525003468659228672,#1: #2: #1.,Sean Osmar doesn't believe there are soldiers in the area.,,Sean Osmar shares a photo of a soldier before the shooting.
525019752507658240,,It's an old joke.,ArmedResearch is looking for the source of the photo.,ArmedResearch asks #CindyPom to read the whole timeline.
525023025792835585,Cirillo has passed away.,,,Cameron is sending condolences to Gray's family.
525025279803424768,,,,Canoe feels sorry for the soldier who died.
525025463648137216,Nathan's funeral is taking place.,,,#CP24 feels sorry for the soldier.
525028734991343617,It's the end of the world.,,It's not a good idea.,The name of a soldier should not be used.
525032872647065600,There was a terrorist attack in Canada.,There is no such thing as 'just an example'.,Michael Zehaf had his passport confiscated.,There's no information about Z-B.
525049639016615937,Mauler wants to know the name of the man.,Mauler is not available.,,Mauler sends condolences to his family.
525056576038518785,A soldier was killed in Canada.,A young man was killed in Canada.,,#Telegraph reports that a young reservist was killed in Canada.
525058976376193024,It's not a good idea.,,I am sad about the situation.,It's the end of the world.
525060425184858112,It's been a long day.,A man has been shot dead.,The internet is not allowed to show pictures of people.,#cnnbrk asks #CathyCollver why people are afraid to go anywhere.
525068915068923904,It's not a good idea.,,,It's the end of the article.
529540733020405760,It's 4 o'clock.,,The show is already sold out.,#PrinceMuseum is calling Prince's name from Vancouver.
529653029747064832,,David is crying.,,#davidley is crying.
529654186791944192,,,The man is still alive.,Prince is going to perform in Toronto on Thursday.
529660296080916480,,,,Mike will send a set of tennis balls to Henry.
529687410611728384,LaFlamme wants to go to a concert.,,,LaFlamme is going down Victoria Street.
529689679411810304,,Freekmane is on the phone.,,Freekmane wants to go to the concert.
529695367680761856,,The last time I saw Prince was 2 years ago.,It's the end of the article.,It's Prince's birthday today.
529695483661664257,,,,#Stazie is jealous of #PrincePartyUK.
529713467184676864,The Secret Prince is playing in Toronto tonight.,The sale ends in 4 minutes.,,There is no such thing as 'no such thing'.
529716453792956416,,,,The funeral is taking place today.
529720273285566464,Prince will not be performing at LiveNation.,,#Prince will be in Toronto tomorrow.,Prince will not be performing at #massey tonight.
529739968470867968,The concert is on Saturday.,The concert is not going to take place.,It's 4 o'clock.,#1 is not playing #1.
53czp3,,,This article is not suitable for children.,It's a long term investment for Google.
544268732046913536,,,,A siege is taking place at Sydney's.
544269749405097984,,,There is no such thing as a chocolate bar.,A hostage situation is unfolding in Sydney's Martin Place.
544271069146656768,,Kristy Mayr7 asks #KristyMayr7 to hold herself to higher standards.,Kristy doesn't know if it's an ISIS.,There are two gunmen in the cafe in Sydney.
544271284796784640,,,,#Breaking911 asks #Breaking911 to let Muslims out of the country.
544271362022338560,"The name of the song is ""Black"".",#Gion is a generic flag.,There are no details about the attack.,#Lindt store in Martin Place is being held up by the Islamic flag.
544272537341812736,#1: #2: #1.,#DailyMail asks #Al-Qaeda to hold up the flag.,A gun is not allowed in Australia.,There are people in Sydney who have guns.
544274544174071809,The girl in the picture is crying.,It's not the same as it used to be.,#Exjon wants to talk to #Exjon.,#Exjon and Mermayden are discussing the issue of waterboarding in Sydney.
544274934835707905,Mata thinks it's a good idea.,,Anita Teguh asks BBC to explain why a CAFE is in AUSTRALIA.,The cafe in Sydney is in the central business district of Sydney.
544277117039837184,#SydneyNews reports that Al Qaida is a Sunni Muslim group.,The people are more important than the flag.,"There's no God, so shouldn't there be.",Aust and Liztilley are talking about the situation in Syria.
544277860555710464,,It's not a good idea.,Kiipp is on Twitter.,#KEEMSTARx wants to know what's going to happen.
544278335455776769,#Sydney held a protest against terrorism.,The flag is not an Islamic symbol.,It's not a good idea.,The meeting was held inside a cafe.
544278985249550337,The BBC has a live stream of the event.,,There's a problem with the internet.,"#mscott asks #mscott to turn down the external sound on the app, but it doesn't work."
544282005941530624,"The bill is $1,000.",,,#nypost asks #nypost to talk to Obama.
544282227035869184,Gunmen take hostages at Sydney cafe.,It's not the Islamic flag.,,"#Pz, #Pz."
544283772569788416,Siege in Sydney is in Sydney.,It's the end of the article.,,#SkyNews asks #SAS to get on with #SkyNews.
544287209730236416,Sydney Opera House was evacuated.,,It's not a good idea.,The people of Sydney are in need of help.
544288681021145090,The Lindt Cafe in Sydney is being held hostage.,There are no reports on this topic.,,Shayannoy is angry about the situation in Sydney.
544289311504355328,,,,Cullen thinks it's a good idea.
544289409294553088,It's not a good idea to talk to a politician.,It's the same old story.,It's time to remove names.,#latikamboy is on the list.
544289941996326912,#SydneySays.,The prime minister will not comment on the issue.,Australian is not allowed to run.,
544290258951892992,Central Sydney has been shut down.,,,#WSJ is worried about the situation in Sydney.
544291804057960448,Anon wants to know what's going on.,,Anon says it's not a good idea.,TheAnonMessage asks #SydneySiege to stop releasing the pictures.
544291965513134080,,Marks is not interested in the news.,#SharriMarkson.,SharriMarkson doesn't want to share a picture of a man on social media.
544292129972170752,#Sydney is on Twitter.,TheAnon message is not an Islamic message.,Anon is not allowed to use #Anon.,TheAnonMessage is a fact checker.
544292670336925696,,Anon is in a cafe.,,Anon wants to know what is going on.
544293753130082305,Rundfunk.com.,A man was arrested in Birmingham.,Rundfunk.com.,#ROUNDTHEBEND.com has a breakdown of what people know and what they don't.
544294893146091520,Sydney is in trouble.,,There's a hostage situation in Sydney.,Ferguson is being held hostage in Sydney.
544297696308518912,#Sydney is being held.,It's not a good idea.,The situation in Australia is not good.,Diane Feinstein and Obama released a CIA report on FoxNews.
544301453717041152,,,,Gunman says four devices are located around Sydney.
544305540286148609,,,,A man wearing a black headband was filmed inside a cafe in Sydney.
544305745416581120,,,,A man is being held in a cafe in Sydney.
544306402731507712,,,,#Sydney needs to get a job.
544306719686656000,Williams sends an emergency message to the US government.,It's not a good idea.,It's not a good idea to kill people.,Jon is worried about the situation of Williams.
544309275141885952,#RT: #Lindt.com.,#NijatK doesn't agree with #RT.,,NijatK and Simbad are talking about the mass shooting in Australia.
544310853613281281,Sydney thinks the Sydney cafe may be part of a larger plot.,Sydney is sick to death of #Y7News's coverage.,,Sydney and Y7News are talking about what's going to happen.
544314234541469696,Sydney is experiencing a surge.,They don't care about you.,"The price of Uber is $1,000.",#mashable is talking about Uber's surge pricing in Sydney during hostage siege.
544315472075042818,,,There are reports that a man is being held.,Sydney's consulate was evacuated due to a hostage situation.
544319274072817664,Hadley wants to talk to the police.,#1: #2: #1.,There's a gun in the building.,#9News wants to talk to Hadley about the terrorist threat.
544319832486064128,The prime minister says it's a problem for Australia.,The situation in Australia may be politically motivated.,The prime minister says it's politically motivated.,It's Monday in Australia.
544324444773433348,#Mashable says Uber has hiked prices in Sydney.,#Mashable wants to change the policy.,The driver can't get to the meeting.,Mashable thinks Uber has no integrity in Sydney.
544328894812549121,Shoq is on Twitter.,Anonymity is not a good idea.,#Sydney has been evacuated.,#Anonymity is a problem for #RT_com.
544329935943237632,Sydney is angry at Uber for trying to increase fares.,Sydney is not satisfied with Uber's service.,Sydney is confused about Uber's service in Sydney.,Sydney wants Uber to give away free rides.
544333764814323713,It's not a good idea.,,The video is available on YouTube.,#Princekhattab and #PrinceKhattab are talking about the headband.
544350567183556608,,,It's the end of the world.,It's the end of the day.
544350712365207552,#Sydney has escaped.,,The source of this article is the BBC.,
544352727971954690,The police are looking for three people.,It's the end of the article.,The world needs a good leader.,#BreakingNews reports on #BreakingNews.
544358533819420672,#BreakingNews reports that three hostages have escaped the Sydney cafe.,A man has escaped from a prison.,A man is being held in a prison.,Gurmeetram asks #BreakingNews to buy 3K Followers in Sydney.
544358564484378624,The police are looking for a suspect.,,The cause of the fire is unknown.,
544367462012432384,It's not a good idea to lock people up.,,#Sydney has 3 hostages.,Sekulow wants to know what happened to the hostages.
544374511194632192,The number of hostages is 5.,It's the end of the day.,It's the end of the article.,It's not a good idea.
544380742076088320,The image is from the BBC.,,,#Carolinemarcus tells #Nswpolice the identity of a girl is not allowed to be revealed on social media.
544381485591982083,Troy Bram is getting the news from Channel 10.,#TroyBram is on Twitter.,,TroyBramston is on Channel Ten News.
544382892378714113,Sebastian is on Twitter.,,Gelukkig is on Twitter.,#BuzzFeedNews shares a picture of a girl who is scared.
544391176137089024,#Sydney has a problem with ISIS.,,The police are looking for him.,Nick Waite and Nick Waite are talking about the situation in Australia.
544391533240516608,,,,#Sydney has escaped from the besieged.
544399927045283840,,It's a problem for Muslims.,It's not a good idea to kill Muslims.,Sydney is being evacuated due to hostage situation in a cafe.
544462330105712640,A second suspect has been arrested.,#Sydney wasn't arrested.,There is no such thing as'mysteries'.,Garred is surprised by the coverage of Ray Hadley's role in the news.
544476808566276097,#SydneySays it's the right thing.,There is no such thing as 'no such thing'.,This article is not suitable for children.,Marksman is on Sky News. #Wossyboo92 thinks it's a good idea.
544491151118860289,,Muh tells Lu to get on the phone.,,#PzFeed asks #Siren to be Prime Minister.
544504183341064192,#1: #2: #1.,,,#Sydney is angry at #StarOnline.
544510450101415936,The BBC reports on the situation in Sydney.,,There's a problem with the internet.,#Breaking: Several hostages were taken from a cafe in Sydney.
544511199702822913,,,Sydney is on Twitter.,Sydney confirms that live ammunition is used in Martin Place.
544512108885725184,Sydney is worried about the situation in Texas.,,There was an explosion in Texas.,Sydney wants to know what happened to the man.
544512664769396736,The police are looking for #Lindt.,,Matthias is on Twitter.,The police are looking for him.
544512676643500033,,,,#SkyNews shares a video from Austria.
544512910538838016,,,The police are on the way.,#Sydney has been held by an Iranian gunman in a cafe.
544513524438155264,,,,"It costs $1,000."
544514564407427072,,,,The Daily Mail reports that the man is a terrorist.
544514570367168512,SydneySiege shares the latest video of hostages on Fox News.,There is no update on the situation.,There is no news about him.,#FoxNews reports that a robot is getting ready to go in Australia.
544515538383564801,Joyce is angry at Karam.,,The man is not a terrorist.,Joyce and Karam are talking about a man accused of sexual assault.
544517264054423552,,,,SydneySiege is over.
544518335019229184,At least 5 people have died.,AusNews.com is not available.,AusNews.com reports that a man has died.,#AusNewsNetwork reports that two people have died.
544520042810200064,,,,It's #sydney.
544520273718812672,Angus feels sorry for the victims.,A man has been killed.,Angus doesn't want to talk about it.,Angus is watching a video.
552783667052167168,,It's not a good idea.,"There is no such thing as a ""crime of passion"".",#Euronews reports that 10 people were killed in France.
552785375161499649,It's the end of the article.,,,There is no such thing as free speech.
552788945017516032,It's the end of the article.,,Mumbi is on Twitter.,#Tnewtondunn asks #Mumbobee and #Mehdirhasan to support religious freedom.
552791196247269378,At least 10 people were killed in a shooting at French satirical newspaper.,A man killed his own son.,,Simmons is worried about the situation in France.
552791578893619200,Eleven people were killed in Paris.,It's the end of the article.,,Eleven people were killed in a shooting at the Paris offices of Charlie Hebdo.
552792544132997121,,,Raja is in London.,Raja and Raja are talking about the political situation in Western Europe.
552792802309181440,Eleven people were killed in Paris.,,The police are looking for a suspect.,A terrorist attack took place in Paris.
552792913910833152,At least 11 people were shot in Paris.,,,I was in France and it was very nice.
552793679082311680,Francois is in hospital.,,,#WilliamMolinie shares a photo of a journalist on Twitter.
552802654641225728,The price of Charlie's is $100.,,The author is @thei100.,#Thei100 shares the news about Charlie Hebdo.
552805488631758849,At least 12 people were killed in Paris.,Chai doesn't believe in religion.,,#cnnbrk and #hassanbasmer are talking about religious freedom in France.
552806309540528128,Charlie thinks the cartoonists Charb & Cabu are an ANTI.,It's not a matter of opinion.,,"Colvinius, Suzanne, LePoint, Galushko and Martin are talking about the killing of Muslims."
552806757672964097,Charlie was killed during the attack in Paris.,#USATODAY has a health insurance deadline.,,#1: #2: #1:
552810448324943872,#RT: #Paris has no place in Islam.,It's not a good idea to kill people.,,#RT and #RT.com are talking about the situation in Afghanistan.
552811386259386370,At least 12 people were killed in Paris.,The French don't know what a gun is.,,At least 12 people were killed in Paris.
552814494381256704,Sputnik's editor-in-chief was killed.,Sputnik is on Twitter.,,Sputnik's editor-in-chief was killed.
552816020403269632,,It's the end of the article.,,#mjrharris.
552821069036670976,HuffPost.commented on the post.,,,HuffPost UK is sad about Charlie's death.
552832817089236992,#Mashable shares a video.,,,The man in the picture is a police officer.
552833028201144320,,,,#RT_com asks Frenchmen to stop funding terrorists in Syria.
552834961762709505,,,,Gargi Rawat wants to talk to Noopur Tiwari.
552848620375261184,Charlie has been identified as a member of al-Qaida.,"It costs $1,000.",It's not a good idea to shoot someone.,#Slate and #MiaMBloom are talking about a terrorist attack.
552978099357237248,The image is from the BBC.,,,It's #JeSuis.
552978184413921281,Banksy thinks it's a good idea.,,,"It costs $1,000."
552982613288157184,Banksy says it's a good idea.,,,Banksy sends #JeSuis to Charlie.
552984502063337472,,Two men have been arrested in France.,,It's time to go to hell.
552996335319007233,Mama will give you a message.,It's not easy to find information on Twitter.,,"Mama, Mama, and Jefferson are talking about Obama's comments about Muslims."
553107921081749504,There's a problem with the internet.,The cartoon is from the BBC.,,There's an explosion in a restaurant.
553152395371630592,Lucille shares a link to a cartoon.,,"The artist's name is ""Anay"".",LucilleClerc shares a cartoon about Charlie Hebdo on Twitter.
553160652567498752,The police are looking for a suspect.,The police are looking for a suspect.,,#NoModerate is not a good idea.
553164985460068352,The police are looking for suspects.,,The results of the survey are not available.,Thelma and Louise are being investigated by SkyNews.
553184482241814530,,It's the end of the article.,#Juliamacfarlane.,Juliamacfarlane hopes the police will catch the criminals.
553197863971610624,They agree with each other.,,"It costs $1,000.",The last person killed in Charlie's was Muslim.
553212962044149761,,,It costs $1.25.,Melissa Bell hopes it won't happen again.
553221600955621376,,,,Armed police are looking for him.
553461741917863936,#StopKilling is #BBC.,It's the end of the show.,It's not a good idea.,SuisAhmed has sent BBC a photo of Charlie.
553467311261503488,,,,The police are looking for a suspect.
553470492565602305,,,There is no news in English.,It's too late to change it.
553474188259102720,,,It's not a good idea.,#Maddow asks #NBC to use a photo of the suspects in the hunt for #Charlie.
