source_id,all_0 summary,all_1 summary,all_2 summary,all_3 summary
365056836476481537,It's raining all over the place.,There is no such thing as too much information.,It wouldn't be a good idea to eat fish.,(http://www.washingtonpost.com/
365276206381268995,"Fukushima nuclear plant is leaking 80,000 gallons of radioactive water into the ocean daily.","Japan's Fukushima Daiichi nuclear plant is leaking 80,000 gallons of radioactive water into the ocean daily.","Fukushima nuclear plant is leaking 80,000 gallons of radioactive water into the ocean daily.","Japan's Fukushima Daiichi nuclear plant is leaking 80,000 gallons of radioactive water into the ocean daily."
365497016098369536,There's a leak in the Pacific.,There is a problem with water leaks.,There are leaks in the Pacific Ocean.,Terrifying situation at the Pacific Ocean.
366025766183514112,The Bible says the world is flat.,The Fukushima Daiichi nuclear power plant is leaking radioactive material.,Anon is not happy about the situation.,Anon is leaking radioactive material into the ocean.
366205297557110784,There's a problem with the internet connection.,On Twitter: @fukushima,There is no such thing as too much information.,The writer is a freelance journalist.
369506008172740608,There is a leak in the Pacific.,There is a problem with radioactive water.,Mikko is leaking at least 50 tons of radioactive material every day.,Mikko is on Twitter.
370855596050108416,There's a new crisis at Radioactive.,There's a problem with a nuclear power plant.,There is a problem with the Internet.,Mariyamaguchi@gmail.com
372489152903643136,Jesse is off the menu.,It took a lot of effort to get here,Jesse shares his opinion on Twitter.,The conversation has not ended yet.
372901260183494656,Anon shares this article with his friends.,Anon wants to know if he should wait.,Anon shares his opinion on Facebook.,The problem is that it is a real one.
372914976102834176,Anon wants to know if it's safe to drink.,Anon is looking for a solution to a problem.,There's a lot to talk about in Japan.,Anon is afraid of radiation.
376874273601630208,@Lord_Voldemort7 is working on an eighth book.,@Lord_Voldemort7 is working on an eighth Harry Potter book.,@Lord_Voldemort7 and @Betsy_,@Lord_Voldemort7 wants to know if Harry Potter is dead.
376982539132366848,J.K. Rowling is working on an eighth Harry Potter book.,J.K. Rowling is working on an eighth Harry Potter book.,J.K. Rowling is working on an eighth Harry Potter book.,J.K. Rowling is working on an eighth Harry Potter book.
377002232257855488,J.K. Rowling is working on an eighth Harry Potter book.,J.K. Rowling is working on the 8th Harry Potter book.,J.K. Rowling is working on the 8th Harry Potter book.,J.K. Rowling is working on the 8th Harry Potter book.
377519445578895360,Frankie is on Twitter: @FrankieJ,Frankie is on Twitter @jk_,Grande wants to know if he's seen Wrecking.,Grande is looking for a place to stay.
380055172896272384,A city in Louisiana has made twerking illegal.,A city in Louisiana has made twerking illegal.,A city in Louisiana has made twerking illegal. The punishment is 30 days in jail.,A city in Louisiana has made twerking illegal.
380140114552188928,Tweerking in Louisiana is punishable by up to 30 days in jail.,"In Louisiana, twerking is a crime punishable by 30 days in jail.","In Louisiana, twerking is a crime punishable by 30 days in jail.",It's mandatory to have sex with a minor in Louisiana.
386682163862986752,It doesn't matter what religion you are.,There is no such thing as a free lunch.,Matt is laughing at the joke.,"There is no such thing as ""fake news""."
386998038004113409,Williams wants to know why the President doesn't do more for the people.,Williams is angry with the way the election is going.,The website of Rep. Williams is down.,Williams thinks Obama is a communist.
387006553124896768,There is no cure for cancer.,There is no one but yourself to judge what is true.,The website has been shut down.,The Obama administration is breaking up.
387006700609228801,Team Twitchy needs to do some cleaning.,The team is going to shut down.,Amber Alert has been disabled.,Amber Alert has been shut down.
387007120689737729,The website has been temporarily shut down.,There is no such thing as too much information.,The website has been temporarily shut down.,The conversation is open to everyone.
387009577763360768,Amber went dark under Obama's orders.,Amber Alert has been shut down.,@michellemalkin is angry about the government shutdown.,The website of the National Park Service is down.
387010299536355328,"It's hard to believe, but it's true.",@dbongino thinks it's a good idea to shut down the Internet.,Amber finds it hard to believe.,There's a lot going on in the world.
387021726007042051,There is no such thing as a free lunch.,There is no such thing as a free lunch.,The link to the article is broken.,It doesn't go both ways.
387030572779847680,@th3j35t3r is offline.,@th3j35t3r is a website that helps people find out what they need.,@th3j35t3r wants to know if the contract is worth it.,"The Internet is a resource for information, but it costs money."
387031585834278912,Ace of Spades has been found.,Ace of Spades has died.,Ace of Spades is available online.,Ace of Spades has died.
387041762331471872,There is no such thing as too much information.,The website is not working properly.,There is no such thing as a dead child.,There is nothing more important than saving a child.
387050178932654080,It's all about the money.,There's a lot of work to be done.,There is no such thing as too much information.,It's a good night for movies.
387220814531395584,"The Internet is down, but NBC is still running.",The website of NBC News is down.,The Amber Alert website is down due to government shutdown.,The NBC News website is offline due to a government shutdown.
387233034350514176,There is no such thing as too much information.,The party is going to start soon.,There's a lot going on these days.,There is no such thing as too much information.
387236601450864641,You are welcome to join the conversation.,There's more to life than what you think.,The only thing I want to know is what the hell is going on.,The site is back up and running.
387237225286479872,Steve wants to know if he should pay more for insurance.,It's time to take out the trash.,They shut down the account of Steve.,The website has been shut down.
387281927427727360,@RepFincherTN is a hypocrite.,@RepFincher has used children for political purposes.,@RepFincherTN and @z56po don't like Obama's politics.,@RepFincherTN and @Egil_
387309869080281088,@ezraklein says that it's true.,There are people who believe that they are better than others.,"It's not about their religion, it's about their attitude.",Erik shares his opinion on the subject.
387353560356118528,Amber informs that she can't be contacted.,President Trump is trying to shut down the Internet.,There's a lot of misinformation out there.,There's a lot of misinformation out there.
407156621450571777,There is nothing to worry about.,It's not that easy to do.,There is nothing to worry about.,There is nothing to worry about.
407158558158254081,Paul died of a heart attack.,Paul died of a heart attack.,@mtvnews shares a video of a man praying for his family.,Paul is praying for his friends.
407159686786732032,The actor died of a heart attack.,On Twitter: @gabriela.,It's good to be free.,Paul is leaving a legacy for his daughter.
407162181059612672,Paul died at the age of 40.,It's a sad day for him.,Paul died at the age of 40.,My heart goes out to his family.
407163499723624449,Huffington is at a meeting.,Paul died after attending a charity event.,Huffington shares a photo of his dog.,Huffington Post reports that a man has died.
407163869673443328,"Life is short, so enjoy it.",This is a sad day for Thomas and Rob.,It's a gift from God.,Thomas died in a plane crash.
407164247768977409,There is no one to talk to.,There is nothing to worry about.,There is nothing to worry about.,There is nothing to worry about.
407164597511393280,Paul died with a driver that no one cares about.,Paul Walker died in a car crash.,Paul Walker died in a car accident.,Paul died because he wasn't famous.
407167258452971520,Hilary is not happy about it.,Vietnam War Memorial Day is approaching.,There's nothing to be afraid of.,(http://www.washingtonpost.com/
407167928313081856,John Paul died of a heart attack.,There is no such thing as too much money.,There is no such thing as too much money.,It's too early to tell.
407169212428206080,It's too early to tell.,The driver doesn't have a clue who he is.,There's more than one way to kill someone.,There is no such thing as too much information.
407169699559247872,"According to Wikipedia, Paul died of natural causes.","In memory of Paul, who passed away.",Paul died of a heart attack.,It's good to see such a good guy.
407169885345943552,The driver died in a car accident.,There is no one who cares about Paul.,There is nothing to worry about.,There is no such thing as a bad actor.
407170170533064705,Paul died in a car crash.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407170443443859456,The CEO died with Paul yesterday.,The CEO died with Paul yesterday.,The CEO died with Paul yesterday.,There is no such thing as a happy ending.
407173794583695360,There's a lot of work to be done.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407176055657484289,It's good to be young.,There is no such thing as too much information.,"According to wikipedia.org,",The writer is a freelance journalist.
407176873605865472,Paul died in a car crash.,Paul died in a car crash.,Paul died in a car crash.,Paul died in a car crash.
407177474788057088,The driver that died with Paul Walker was not famous.,Paul died with a driver that no one cares about.,The driver that died with Paul Walker was not famous.,The driver that died with Paul Walker was not famous.
407179055763836928,People magazine asks if speed played a part in Paul's death.,Paul died of a heart attack.,Paul Walker died in a car crash.,Paul died in a car accident.
407181813174788096,Huffington is starting to lose his hair.,Huffington shares his condolences to his family.,It's a sad day for Paul.,HuffPost has a link to the article.
407182194206322689,There is no such thing as too much information.,Jalopnik is a writer.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407182466613792768,The following is a transcript of an interview.,The video is available on YouTube.,There is no cure for cancer.,It's time to let go.
407184707118309376,Paul wrote on Twitter that he was happy before his death.,Paul Walker is remembering his good times with Eonline.,Paul died in a car accident.,Paul died of a heart attack.
407184730988097536,Kevin was a good guy and he will be missed.,Kevin is not a nice person.,Kevin is a big fan of Kevin Smith.,Kevin sends a message to Kevin.
407185422523977728,Paul is dead or alive.,Tikka is still alive.,"The car was on fire, but nobody got hurt.",There is no such thing as too much information.
407187197427593217,There is no such thing as too much information.,Rai shares his views on politics.,There's a catch. There's a lot of catch.,Hoffman is a writer and broadcaster.
407188779255222273,It's hard to believe he's gone.,Paul wrote on Twitter that he wants to know what happened to his friend.,There's a lot of talk about Paul.,It was a great shock for Paul.
407189015582887936,The man died in a car crash.,Hassan is a writer and musician.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407191058108256257,It's such a shame.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407191144880439298,There is no such thing as too much information.,Husband and wife are having an affair.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407192027714322432,It's hard to believe that Paul died.,It's hard to believe that Paul died.,It's hard to believe that Paul died yesterday.,There is no more information about Paul.
407192126032986112,"The car is broken, but the driver is fine.",A car was hit by a motorist.,Speed was a factor in the crash that killed Paul.,Speed was a factor in the crash that killed Paul.
407192370040803329,The Internet is a wonderful thing.,@ELLEmagazine on Twitter.,There is no such thing as too much information.,There's a lot of money to be made.
407193347279699968,Paul died in a car accident.,""" Remembering Paul Walker was ""So Happy Before His Death"".",It's a sad day for Paul.,It's a sad day for Paul.
407197113286545409,The author is not available for interviews.,Hilary is a freelance journalist.,It's just a coincidence.,(http://www.washingtonpost.com/
407197672702214144,A friend died from an accident.,There is no such thing as too much information.,Theresa sent this to her friends.,There is no such thing as too much information.
407198255793987584,"""I was doing alright till I found out Paul died.","""I found out that Paul died.","""I found out that Paul died.","""I found out that Paul died."
407198615137181696,Liam is the man who died.,There were two lives lost in that crash.,There are a lot of people in the world.,Liam is a writer and photographer.
407205009676587009,The writer is a freelance journalist.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407205235682050048,There's a story about a man who died.,There's something wrong with Paul.,There is nothing to worry about.,There is no one to blame but himself.
407205404075376640,There is no such thing as too much money.,There is no such thing as too much sugar.,The author is a freelance journalist.,(http://www.washingtonpost.com/
407206094747209728,There is no such thing as free will.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407209131351629824,There's a lot going on in the world.,Theresa is a freelance journalist.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407209222850756608,There is no one to talk to.,Spencer is a writer.,Spencer is a writer and musician.,There is no one to talk to.
407209892013821952,It's a shame that he's dead.,There is no such thing as too much information.,There is no such thing as too much information.,(http://www.washingtonpost.com/
407211258304552960,He will be missed by many people.,There's nothing good about him.,John Paul was doing good and now he's dead.,Paul is doing good at his charity work.
407212665350942720,Mashable shares a link to a video.,Paul is having a bad day.,Mashable is on Twitter.,There's something sad about that.
407213757048160256,He died doing what he loved.,Javier's death has devastated his family.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407213772328022016,Samuel died in a car crash.,Samuel died in a car crash.,Samuel died in a car crash.,John Paul died in a car crash.
407217471473451008,The story of Mr. and Mrs.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407217865973329920,Paul died of a heart attack.,Paul died of a heart attack.,They are both doing what they want to do.,There is no such thing as too much information.
407218583135997953,There is no such thing as a happy ending.,The author tweets as @ashleey.,The author tweets as @ashleey.,There is no such thing as a happy ending.
407223928084766721,There's a movie called 'Dead Man Walking' on Netflix.,"The show must go on, because there's no time.",There's a new movie coming out.,"There is no such thing as ""fast and furious""."
407229989902225408,There is no such thing as free will.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407231591191035904,"""I'm angry, because he died.",There is no such thing as too much information.,There is no such thing as too much information.,Theresa is angry. She wants to know why.
407231740764508161,There is no one to drive.,The name of the man is Blue.,There are people who don't want to die.,He is famous for saying that no one cares.
407232661107642368,The video is available on YouTube.,There is no one like Paul.,It's not so nice but it's ok.,The Internet is full of funny videos.
407233172380733441,The situation is not good.,Paul died in a car accident.,"According to Wikipedia, it can be found here.",Paul died in a car accident.
407234399093022720,The man who died was named Roger.,Rodas died in a car accident.,The name of the man is Ruin.,The man who died was named Roger.
407236151167025152,Paul died because he wasn't famous.,There's a man named Paul who died.,The driver died because he wasn't famous.,The driver died and nobody cares.
407244865018155008,People are doing things they shouldn't be doing.,There is no such thing as too much respect.,The following people are famous for their looks.,People are stupid. They don't know what they're doing.
407248574099894272,Paul Walker's death will be delayed but won't be cancelled.,""" Fast and Furious 7"" won't be delayed.","Paul's Death will be delayed, but won't be scrapped.",""" Following Paul Walker's Death"" won't be scrapped, but it will be delayed."
407253198395555840,The video is available on YouTube.,"The movie ""The Crow"" is out now.",Reeva is on Twitter.,"Hawk is dead, but not forgotten."
407253554039386112,Paul died in a car crash.,Deji died in a car crash.,Paul died in a car crash.,Paul died in a car crash.
407254590363426816,""" Following Paul Walker's death will be delayed.",It's not going to be good.,Paul Walker's death is delayed.,"Paul is a fan of ""Fast and Furious"" series."
407258075502899200,The writer is a freelance journalist.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407262869152358400,Paul died of a heart attack.,Paul died in a tragic accident.,Huffington has died.,Paul died in a car accident.
407262953533353984,Paul is an actor and writer.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407264593027670016,The driver is responsible for their deaths.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
407267881131732992,The movie is set to release in two weeks.,The movie is set to release in 2 weeks.,The movie is set to release in two weeks.,The movie is set to release in two weeks.
407269894938718208,Stunna posted this two days before Paul died.,Stunna has posted this on Facebook.,Stunna posted this on Twitter.,Stunna posted this on Twitter.
407275991610818560,I don't like being called a troll.,There is something worth writing about.,There's a lot of bad stuff on Twitter.,@dave_schilling shares a link to a video.
407279190913069056,It's hard to imagine what his family is going through.,Theresa wants to know what happened to Paul.,There is no cure for cancer.,The following files are available to download.
407290084593913856,"According to the website, he was also killed.",There is no cure for cancer.,The author is not to be contacted.,There is no one to talk to.
407290871856369664,It's not cool. It's not funny.,Madubu is making fun of people.,There is no such thing as a happy medium.,Madubu is on Twitter.
407292452060815360,There's nothing good to say about this.,They should stop making fun of Paul.,In the wake of Paul's death.,Paul died in a car accident.
427652211414274048,A man died from smoking-related disease.,A man died of a heart attack.,Marlboro has died of lung cancer.,Man dies from smoking-related disease.
427662266993889280,The man who died of smoking died of lung cancer.,Actor who died of smoking-related disease died in 1970s.,A man died of smoking-related disease.,A man died of smoking-related disease.
427666815842414592,A man from Marlboro died from smoking-related disease.,A man in Marlboro died of smoking-related disease.,A man from Marlboro died of smoking-related disease.,A man in Marlboro died of smoking related disease.
427689948398231552,Actor Eric Lawson died from chronic obstructive pulmonary disease.,Actor Eric died of COPD.,A man died of pulmonary disease.,Actor Eric died of chronic obstructive pulmonary disease.
427690961280696320,Man died of smoking-related disease in 1970s.,A man died of smoking-related disease in 1970.,A man died of smoking-related disease.,A man died of smoking-related disease in the 1970s.
427725166127226881,There is no such thing as free will.,The conversation is open to everyone.,The writer is a freelance journalist.,क्षेट।
427762638274437120,Actor who played Marlboro died from smoking-related disease.,Actor who played Marlboro died from smoking-related disease.,Actor who played Marlboro died from smoking-related disease.,Actor died of smoking-related disease.
427780584979836929,A man died of chronic lung disease.,The Guardian is on Twitter @guardian,Marlboro has died of lung cancer.,A man died of chronic lung disease.
427831952826449920,A man died of a heart attack.,A man died of a heart attack.,A man died due to smoking.,A man died of a heart attack.
427846006600777729,He had a good run.,There's a lot of smoke in the room.,It's not exactly shocking but it's interesting.,A man died of smoking-related illness.
427924694663454720,Actor dies from smoking-related disease.,The actor died of smoking-related causes.,Actor died of lung cancer. He was 72.,It's time to quit smoking.
427944719612915712,A man died of a heart attack.,A man in Marlboro died from smoking-related disease.,A man died of smoking-related disease.,A man died from smoking-related disease.
428366153149194240,Obamacare will require you to get an RFID chip implanted into your skin to monitor and track you.,Obamacare will require you to get an RFID chip to monitor and track you.,The Internet will require you to get an RFID chip implanted into your skin soon.,Obamacare will require you to get an RFID chip implanted into your skin.
435998882250899456,@skyfallharry is on Twitter.,@skyfall is laughing at a joke.,The tears are rolling down my face.,@skyfallharry on Twitter.
436074888638763008,""" he's talking to himself.",Theresa is a writer and musician.,Johannes is from Germany.,"According to Wikipedia, it is:"
436089462326849536,I am going to talk to my sister.,@_exhale is laughing at something.,There is no such thing as a perfect conversation.,@_exhale is talking.
436157173161144321,""" he's a kidnapper.",There's a lot of money in this account.,"On Twitter, @marija",""" he's a kidnapper."
436157398269849602,There is a recall of meat from the Internet.,There is no such thing as a free lunch.,@kimthugga is on Twitter.,There's a problem with hotpockets.
436160836524965891,Nestlé has issued a recall of Hot Pockets in the USA.,Nestlé has issued a recall of hot pockets.,Nestlé has issued a recall of Hot Pockets in the USA.,Nestlé has issued a recall of hot pockets.
450341615979069440,Danger thinks it's a hoax.,@joerogan and @DangerBurgundy think it's a hoax.,Danger is trolling Joeerogan on Twitter.,It's April Fool's Day.
455525437351800832,There is no such thing as too much information.,The Internet is a wonderful thing.,There's no need to tell me how to do it.,(http://www.washingtonpost.com/
470025166760980483,There is no such thing as a free lunch.,There is no such thing as a boring subject.,There is no such thing as too much information.,There was a fight at the school today.
482880640560271361,Allen West is upset with the way Muslims treat Christians.,Allen West is upset about the situation in Bahrain.,Allen West thinks Muslims shouldn't be allowed to worship God.,Allen West wonders why the troops are getting religious training.
489794369487380480,Chris shares a photo of a plane that crashed.,A passenger was shot down near the Russian border.,There is no such thing as too much information.,The flight was cancelled due to bad weather.
489794593580650497,Malaysian Airlines passenger was shot down near the Ukraine border.,HuffPost has been hacked.,HuffPost reports that Malaysia Airlines has been shot down.,HuffPost UK is not happy with the way things are going.
489794696013967360,HuffPost is on Facebook.,HuffPost is on Facebook.,HuffPost is on Facebook.,(http://www.washingtonpost.com/
489796088338341888,HuffPost is on Facebook.,HuffPost.com is a platform for sharing information.,HuffPost is on Facebook.,(http://www.washingtonpost.com/
489796998615547904,The plane was shot down in Kuala Lumpur.,HuffPost has been hacked.,HuffPost is on Facebook.,HuffPost is on Facebook.
489798219283857408,HuffPost has been hacked.,Russia shot down MH17 plane.,HuffPost is on Facebook.,The good times are going to end.
489798752358916096,HuffPost is on Facebook.,HuffPost is on Facebook.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
489800427152879616,There are too many people on Facebook.,Malaysia lost a plane.,The post was last modified: by WASHINGTON POST.,A plane has crashed in Ukraine.
489802446001434625,The following files are available to download.,There is no evidence to support the claim.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
489812926828924928,CNN reports that MH17 was shot down by terrorists.,The plane was shot down by terrorists.,CNN was shot down by terrorists.,CNN is blaming Obama for the situation in Ukraine.
489816746405007360,There's something wrong with this photo.,Viktor is a reporter for Reuters.,It's ok to kill people.,There was a problem with a plane.
489818014364086273,Arabiya wants to know what's going on.,It's the end of the world.,There's a war going on.,There's a lot of work to be done.
489820657291911168,There was a plane crash in Malaysia.,There's a war on for your mind.,There was a plane crash in Malaysia.,"According to the BBC, it's"
489829414704648192,There is no such thing as too much information.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
489833932813516800,Ukraine has shot down a Malaysian airliner.,Ukraine shot down a plane with an anti-aircraft missile.,Ukraine shot down a plane with a missile.,There is a missile in the sky.
489836271049928704,There is no such thing as a flying spaghetti.,Mashable has a new website.,There is a lot of information on this topic.,There is no such thing as too much information.
489836441120145408,The only thing that matters today is the weather.,It's a sad day for Malaysia.,The world needs to be put to rest.,There is no such thing as too much information.
489841070818488320,There is a problem with the Internet.,There was a plane crash that left 9 people dead.,The Internet is a dangerous place.,There is no such thing as too much money.
489854703321509888,There was a plane crash in Gaza.,There is a war on for the lives of British citizens.,It's a sad day for many people.,There are more people on board than there are seats.
489865454312099840,They are taking pictures and then throwing them back at you.,"There is no such thing as ""fake news"".",It's not a good look.,The following people are in good health.
489867900296368129,@mashable shares a video of a plane crash.,Mashable shares a video of a plane crash.,""" Cossacks"" shot down the plane.",Mashable shares a link to a video.
489872119158046720,There is no such thing as too much information.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
489872500462190593,@nycjim is celebrating his birthday tomorrow.,There was a phone call between New York City and Moscow.,There is a lot of misinformation out there.,It's a shame for James.
489874311143260160,The plane was shot down in Malaysia.,It was shot down on Twitter.,There's nothing to tell us about the election.,There is no such thing as too much information.
489887806018183168,The video is available on YouTube.,VICTIM shares his story.,The following files are available to download.,(http://www.washingtonpost.com/
489902412900343809,Rebel shot down a plane.,There was a plane shot down in Ukraine.,Mashable shares a video of a plane crash.,Mashable posted a video on Twitter.
489968646014246912,The following is a link to a website.,There is a lot of information on the Internet.,It's important to break down the list.,The following is a link to a website.
489970164469751808,The names of those who were on board are:,There's a war on for your mind.,The following files are available to download.,(http://www.washingtonpost.com/
489974591985840128,A Malaysian jet was shot down by a Buk missile.,Ukraine says Malaysian jet was shot down by a Buk missile.,There's a war on for air space.,A Malaysian jet was shot down by a Buk missile.
489975398151618560,Vladimir Putin was shot down.,Пубы,It's a sad day today.,There is no such thing as too much information.
490080544949276672,Ukraine is responsible for the attack on MH17.,MH17 was shot down by a Buk missile.,The plane was shot down by a missile.,The plane was shot down by a missile.
490136764619948032,There is no such thing as free will.,The following is a list of people who had their money stolen.,There are many reasons why people don't like Mashable.,Airlines is responsible for the #
490141776984825856,CNN is wrong about the flight path.,"According to CNN, a plane was shot down by Russian forces.",CNN is spreading lies about MH17.,"According to CNN, there is a war in Ukraine."
491200302365040640,The rebels stole the money from the bank.,The Internet is full of misinformation.,@cnni is unable to trace the origin of the message.,"The Internet is a wonderful thing, but it has its limits."
491241885399539712,The Ukrainian government has ordered to shoot down a plane.,The plane was shot down by the Russian military.,The maximum altitude of the plane is only 7 km.,There was a plane crash in Ukraine.
491591245152935936,CNN is accusing Russia of shooting down the plane.,CNN is spreading lies about the MH17 incident.,CNN reports that Putin ordered the attack on the Ukrainian parliament.,CNN is spreading lies about a plane crash.
495305620342714369,The following files are available to download.,There is no such thing as a free lunch.,There is no such thing as too much money.,The sky is not the limit for Tesla.
495365942726381568,@dubstep4dads,"It's not true, but it feels that way.",There is no such thing as free will.,There is no such thing as free will.
495366618818830336,"""I like your shirt.",Tastefactory is on.,There is no such thing as too much food.,Tastefactory is not dead.
495583434954514432,There is no such thing as a good example.,It's a wonder he didn't kill himself.,There's a fight going on in Ukraine.,There is no such thing as free will in Ukraine.
496698590153416704,JBC is on Twitter @JBCrew.,JBC's ringtone saved a Russian fisherman from a bear attack.,JBC saved a fisherman from a bear attack.,Justin Bieber saved a Russian fisherman from a bear attack.
497073936077959169,It's not a real story.,Justin Bieber is having a bad day.,There's a bear on the internet.,Justin is having a bad day.
498280126254428160,There's a problem with black people.,Mike is staying with his grandmother.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
499366666300846081,There is no such thing as a free lunch.,The following files are available to download.,There's a war on for your mind.,It's a no-fly zone.
499368931367608320,There's a lot of talk on Twitter about Trump and Brexit.,There are too many black people on Facebook.,@clydethesly is on Twitter.,@clydethesly tweets about the situation in Iraq.
